group,value
['0-9'],6753000
['10-19'],6098000
['20-24'],2874000
['25-29'],3009000
['30-39'],5607000
['40-49'],4452000
['50-59'],3744000
['60-69'],2735000
['70-79'],1197000
80+,442000
