group,value
0-4,3325000
5-9,3428000
10-14,3128000
15-19,2970000
20-24,2874000
25-29,3009000
30-34,2863000
35-39,2744000
40-44,2360000
45-49,2092000
50-54,1925000
55-59,1819000
60-64,1567000
65-69,1168000
70-74,682000
75+,957000
