group,value
['0-9'],22014000
['10-19'],21370000
['20-24'],10104000
['25-29'],9480000
['30-39'],15502000
['40-49'],12311000
['50-59'],9367000
['60-69'],5879000
['70-79'],2639000
80+,915000
