id,Delta,I_mult,R0,R_mult,delta_days_intro_VOC,delta_scaler2,ifr_mult,psi,scaler1,seasonality_min
8002,29.0,18.044199151423978,1.4320176811833105,30.24528532824856,20.0,0.4798370640099739,0.8315244157561772,2.0373939323853274,1.8353547658336897,0.8686287006713228
8003,13.0,25.129244811456353,1.407236691148197,24.164033299558533,41.0,1.5001944921898114,0.6152739199692978,1.9106699291516693,2.06557097150879,0.9804264488838816
8004,24.0,21.27180687912136,1.452548592363577,42.69410962015188,25.0,1.0121166158618573,0.945547875335736,1.9586279394852542,1.4790005378055175,0.5938213688958868
8005,24.0,18.011845710368238,1.4306374866768867,28.965367886265348,19.0,0.7093390655961338,0.572747491060033,1.9213786275374924,2.1772435635886715,0.8713535981249305
8006,30.0,12.350226384421932,1.457646356397886,5.155324381958405,24.0,0.5607414974907654,0.6990403700272537,2.4392158315723305,1.2624761382047416,0.8951314695280014
8007,31.0,22.032002681037408,1.4468053009810466,20.56031564968381,20.0,1.3901850659748431,0.5373569629266602,2.1282971525398064,1.4467595793331471,0.9253754543830377
8008,24.0,16.268231344853767,1.4217609961036721,6.185271521865769,20.0,0.9229533730070615,0.587455974940458,2.172999252526712,1.3305954560597548,0.826269233139422
8009,24.0,22.388535489140374,1.4280288128188996,26.382147427600945,25.0,0.8137464714677016,0.5465691656254343,2.008675749375844,1.7824325395816376,0.5217265032962097
8010,30.0,24.396404587566558,1.4185539289656894,20.00784771056218,21.0,0.6059953887234439,0.9892235195660353,2.1264222203929073,1.4307709377964244,0.7696690961287463
8011,13.0,15.101461962704388,1.4331697336716016,37.01597102630018,39.0,1.2895322180683908,0.5985754041131587,2.1145801716140755,2.1365768246418604,0.9975478713150424
8012,29.0,18.24420841237495,1.460089309932064,20.19340202707327,20.0,1.134042786552672,0.731077125372216,2.1426333684538585,1.6534358654902581,0.7112417814135599
8013,33.0,28.22802736417382,1.4307898693555223,17.710795938700223,20.0,0.7090965981721236,0.9161871709667657,2.084316177101854,1.2350192473401616,0.6094999371379357
8014,34.0,13.318970967210237,1.4663291366235847,8.717694906616297,23.0,1.390793986508799,0.5085196026821421,2.078294044562746,2.283438263419379,0.9816556233179276
8015,24.0,18.945868297316867,1.4276906581624045,9.165111809940596,27.0,0.24122739306479446,1.0960283228286838,2.179583107719612,1.1926178336869837,0.7788690695215849
