id,Delta,I_mult,R0,R_mult,delta_days_intro_VOC,delta_scaler2,ifr_mult,psi,scaler1,seasonality_min
7002,26.0,60.887186415496366,1.2467909244464912,71.44357587290892,-18.0,-1.5251572222572003,1.5935640073391972,1.3052559534274715,17.17179672062702,0.7846919453074642
7003,18.0,59.68110765511816,1.2619220978967898,94.97488023939391,32.0,-6.136559213569839,1.689006045502365,1.5338515766626137,19.949180771910235,0.7766755270593232
7004,21.0,58.57991703984503,1.201835594027064,64.35204559627981,0.0,-3.8233351911490314,0.8514206405684901,1.2553572383338134,32.215917596668454,0.5791966313122845
7005,18.0,58.25021162080905,1.2125648915810086,93.41934694547395,-22.0,-2.997489632827389,1.5303926648534443,1.1615409782875648,20.952067330925612,0.577212790066431
7006,24.0,42.64871507970151,1.187953775807773,7.278036711614769,-8.0,4.231916875385609,0.8214226017924608,1.2043981361318699,29.282890443476276,0.8696355794532081
7007,23.0,49.14110941882117,1.2881913580730668,84.48509854285699,-8.0,-3.134807348005531,1.3565388315406124,1.4360194977161431,16.077350796946693,0.8258477258251783
7008,24.0,77.17186228974522,1.289314774720511,60.53061736923341,-20.0,3.4026275262707193,1.2259962802617805,1.3933144973408422,14.097777715336171,0.8413565376257405
7009,30.0,70.35724444840233,1.2329968404266038,12.586737243947198,-37.0,-4.10492576794595,1.4727302218936857,1.3780115195847344,15.850837940142076,0.8900956116109503
7010,17.0,69.30921112917906,1.2939337742811765,55.33220943710073,4.0,4.712020609715772,0.9050831965938437,1.4218633718654496,24.243053457165217,0.9300937225684466
7011,16.0,74.807067433151,1.1967993820143974,79.1751762975069,10.0,-8.244043141514204,1.5197059772328019,1.2803865521034739,28.52068808996938,0.9031460407715814
7012,16.0,51.685513514990866,1.1986182640029182,78.37435141689193,23.0,1.9631798478914892,0.924823407977108,1.295234317420343,27.294775614629053,0.9001681865193156
7013,28.0,45.773461999675916,1.2360256456712664,32.25049776179972,-18.0,1.5134043896323868,0.8265324705020947,1.3422093634609027,24.56049925012498,0.596118761643804
7014,18.0,46.86336530182636,1.2252390993441278,33.21003279704259,34.0,-0.8957558020747145,1.1206357993104143,1.558657182593366,19.049800875232904,0.8800608258950302
7015,24.0,67.35612628737509,1.1956965074323487,57.10109519878224,-25.0,-7.832593857579921,1.7666926765489528,1.2959843861876772,19.2683797571311,0.7897183731909707
7016,15.0,117.14778854313207,1.222666847678896,92.35950242269823,-27.0,2.7987260861068015,1.110531655702746,1.233734830553324,22.45311808870837,0.6516251787766787
7017,25.0,52.32024797213421,1.2094668265258666,26.141923679154193,16.0,-4.5830359836377,1.1476036477592477,1.386482056613522,22.445819894117225,0.6357837512542528
7018,29.0,78.75748227168104,1.2785064481260557,77.85863573506678,-37.0,-4.160509141575958,1.6652707972698337,1.3897149687763681,14.341316833703912,0.8338264036345784
7019,24.0,61.213392393475324,1.2496873337667829,62.943175897949644,-24.0,-3.7139614566299772,0.816868638985554,1.3066982120926285,28.28066513316122,0.913513311388207
