id,Delta,I_mult,R0,R_mult,delta_days_intro_VOC,delta_scaler2,ifr_mult,psi,scaler1,seasonality_min
8002,24.0,9.292356545372737,1.3285116557427814,42.81336905763054,14.0,-10.061020941671856,1.1698226452580986,1.7482090979047553,84.6983007871782,0.6172438820602025
8003,29.0,16.940093889414545,1.242634300806708,36.33123493192046,28.0,19.575140229135915,1.0725285295213534,1.7606842181555293,56.34033079684619,0.7490446069914126
8004,29.0,12.407074412752852,1.4020802498238192,47.8033517703479,23.0,8.711169049029941,1.4209079005270855,1.6557896891305723,71.1654503177347,0.6551206850743457
8005,28.0,9.910479805372438,1.277241576099745,34.95552622597922,38.0,17.207756357917916,1.1458605386516798,1.8378945253048715,58.83181745923076,0.6515232784311117
8006,12.0,17.26181251629041,1.3191168047110216,38.40626777701637,23.0,4.018561421643365,1.3212174653098188,1.6723293843786997,65.7776929456129,0.6610304750277131
8007,11.0,11.968499920785343,1.1770121778820872,28.848683579584968,35.0,14.60301812076029,0.8667613208287519,1.9908933156312516,73.8320000875892,0.8096695945402328
8008,15.0,10.305719229386119,1.0991415995439608,20.77051155744133,29.0,15.730587134337235,1.1605065499321492,1.7882668896450598,51.25297274818274,0.6749016033646972
8009,27.0,14.374290832825562,1.5436073386431537,50.74804711518118,18.0,14.577533805086748,1.4720324636045332,1.689990470135822,44.45255965493347,0.8228440262729989
8010,23.0,9.083329378014964,1.55098619759919,54.10379924870111,9.0,11.025687915264527,1.5443883152044797,1.7617932462936428,51.6111422726465,0.7238350082797335
8011,10.0,11.923945073321393,1.5952787614793762,54.96638645711546,22.0,12.132420078323964,1.448480896425686,1.6911778008934353,61.97706221442557,0.65546222588669
8012,32.0,7.806153842762905,1.293535074801257,33.782861830686905,11.0,16.809546487356894,0.9452976695625335,1.7620338019691486,59.270783261113515,0.7556737874118398
8013,15.0,17.01719576980465,1.6196049394612977,55.85915882796451,38.0,18.08445005822115,1.0822258532502287,1.714526914903289,79.80966021185893,0.9929665017814095
8014,31.0,15.767611289830818,1.3659186994724424,42.41188397636752,37.0,18.643967634404444,1.170553607630677,1.768020041464072,69.65757253332102,0.930492649207557
8015,30.0,10.850564634875447,1.3008621076577755,37.5853778352741,34.0,6.682382320720224,1.1421961118965323,1.9500122609460757,67.64359390246477,0.9557821187475534
8016,24.0,15.981510870624502,1.0242081154784295,14.922949749716016,28.0,6.678307611268822,0.7796630213654097,1.8699899886478868,61.399349629676514,0.6916427214572322
8017,14.0,15.409462443335714,1.4271587017436254,45.22047320892195,22.0,11.859612879680345,1.4987435773776077,1.7423048770901801,60.71778438904921,0.8659017748628565
8018,14.0,17.587614851892567,1.0722542501105785,19.351748284253897,13.0,11.367692231454305,1.167696743943484,1.7070957486975689,46.160210756454035,0.7492323706046281
