id,Delta,I_mult,R0,R_mult,delta_days_intro_VOC,delta_scaler2,ifr_mult,psi,scaler1,seasonality_min
9002,17.0,121.25380384209154,0.9329056570447376,56.45604243610496,28.0,2.783634953163878,1.9096360106135066,1.0993792897306827,38.067205653767374,0.6324054487383156
9003,24.0,127.39744496279702,0.9383430419715233,76.54955683855712,-6.0,7.454773710711141,1.9732508668977968,1.2551227246166068,31.551066041041878,0.5873615288613423
9004,17.0,103.19691027572162,0.9547821431691599,67.0415393032557,20.0,2.3336750140213622,1.6024562161792888,1.2812732058534029,34.689393171837146,0.6242481025790737
9005,33.0,130.75103895740318,0.950856681969223,77.91879291336278,20.0,13.584214877773883,1.8880509188175045,1.3189113382776896,30.18063766248943,0.6292659619680661
9006,23.0,133.53951252352522,0.9619135755555311,64.209445392052,2.0,6.924207574156149,1.4582404865093013,1.185626872966739,37.037753101080234,0.6348497115564511
9007,19.0,99.3730524974856,0.9656266199120397,66.70574781815283,35.0,1.4296036310467137,1.544852597928533,1.30858780763779,38.55394351874784,0.6374550555791374
9008,30.0,125.07734633157165,0.9305576370337291,63.948419300336816,-20.0,14.970744582056204,1.5481851327013203,1.1639745739308391,37.17042694737421,0.6170856633664595
9009,19.0,114.10325390009186,0.9490326401003256,88.61295699936798,-10.0,7.888734773302902,1.7320867133871847,1.264347237853112,32.922620851632,0.5717307872046892
9010,27.0,116.50789541565594,0.9288966273667311,52.55108491730073,23.0,5.767679814214863,1.8434970064205638,1.0348869264324962,37.071178591235274,0.6311145159118172
9011,16.0,113.7625031285712,0.9287795162045687,62.50714175892432,-26.0,11.117772445777447,1.8022850366756964,1.1407309168502555,37.02392017885916,0.6153144300097686
9012,18.0,105.07066576354293,0.9487896651066903,56.46150022611536,44.0,5.801583765035941,1.3843070083315998,1.1006612711143375,36.92015090219161,0.6281762018607976
9013,22.0,131.2775105139865,0.9368839873968405,68.70043431590219,13.0,1.5631864165278937,1.8164191837352854,1.055091945283315,37.915084036269505,0.6168698230923446
9014,19.0,120.09611669519776,0.9224266135172884,50.15792809906036,22.0,8.851099411458563,1.88996623764502,1.107229971462315,36.53410738940459,0.6364788881695755
9015,23.0,81.594941520632,0.9175928208660137,30.38892277926632,20.0,5.2145405870208,1.6383375150977146,1.2818294238852475,28.04335016932799,0.5967854881144616
9016,27.0,105.45275093586577,0.9420175041132239,44.83621463870934,1.0,5.7657062663658785,1.5103844314223913,1.170315271928214,36.06768756470059,0.639116793763814
9017,24.0,119.59289312714769,0.975815641421438,86.463752415762,9.0,5.160929145491399,1.825454840195346,1.1164435041388603,33.29976020004278,0.634325658681552
9018,26.0,131.76295250135607,0.9317447918177717,61.44355291904678,12.0,4.593905876565108,1.658963358302727,1.1211635760135237,39.18746865671497,0.6182972850642922
9019,20.0,101.00849220136845,0.9467196073706244,43.43034990643545,40.0,2.6926634120194106,1.733522865479117,1.2530639235343517,29.39338728782706,0.6275565433517895
9020,20.0,112.92130363854916,0.9517789708212233,54.4743730160606,31.0,1.916619177327027,1.7015618993136785,1.0709999856569845,38.18891220882741,0.6370208514013622
9021,24.0,111.95426720387223,0.9099855776518228,47.24298497945828,-24.0,5.976830995971918,1.7486171437595024,1.1522230588533233,37.79852696166029,0.6111960582859849
9022,11.0,109.86525167515545,0.9375047770541338,22.828205083393797,-6.0,1.111234495988155,1.2106965872958453,1.1728404004613706,37.201106484115485,0.6403969834263453
9023,24.0,119.35476035674215,0.969003530099935,90.85647990546619,31.0,4.3347943251700185,1.8426572869462339,1.398832105294223,35.43850655268531,0.6231254628917344
9024,18.0,133.22682683506386,0.9004593833687281,31.007882540937068,11.0,16.81318985370697,1.711109390316258,1.0845792557864553,37.69717297584107,0.6298635723985649
9025,22.0,122.79333629866214,0.8994784558016639,23.85729377239299,17.0,10.237539860246963,1.7769823860439107,1.3103294359681164,35.8683970697304,0.6255056600443871
9026,28.0,131.6829791567352,0.9638059069505366,90.96501701919672,2.0,6.703706061481752,1.423449348437642,1.0891310084058468,35.730967417403406,0.5974488582691171
9027,28.0,120.8360665363494,0.969833752529599,88.78178146688226,-5.0,8.612616441965585,1.9483110045945462,1.1203548299089736,39.15243077731289,0.6475879529287978
9028,14.0,118.7956202099189,0.9588694760139825,76.41708734710862,-44.0,1.2897092564506434,1.7169652177984096,1.0378848942682692,32.217503976715555,0.6051026060440063
9029,14.0,83.35841170329913,0.9494731918704615,67.82975913452283,15.0,3.0754537986765196,1.8137855977334714,1.1552241625484458,35.91583922129633,0.6089153137197351
9030,28.0,133.14972748408448,0.9734167783795676,81.11768136120776,27.0,5.86553500196998,1.7353756701666527,1.2666968523503452,32.94337118544421,0.640007310133865
9031,22.0,108.1479976584202,0.9769676037882992,78.78737931745572,18.0,7.6946487791781,1.7628549553456399,1.259870774130912,26.12396452466456,0.6325037713409714
9032,23.0,108.70818492710187,0.9143961706271989,13.19207071817734,23.0,2.9906060653321176,1.5792248544153542,1.1163546922433187,25.94148525073638,0.6212855119723688
9033,26.0,112.4356499255625,0.9539731617477845,87.87292095970072,27.0,13.422194711826116,1.8431637002267807,1.385566977160984,35.18624600685548,0.6056353680428442
9034,23.0,96.48076156056781,0.9256194293597559,54.435293692185624,-44.0,3.9879141684351356,1.8817964153330036,1.1576703042884462,29.27025370252864,0.5944146387810417
9035,16.0,105.11435370761261,0.9500566934332481,40.27962364881841,33.0,1.378197635935074,1.290463111664039,1.2248687592618412,32.995871943972816,0.6316072267662342
9036,17.0,123.39306432992375,0.967127550036255,75.28061253588926,-24.0,5.021346886971167,1.9337595695703282,1.093581997312367,25.582843911228117,0.6201808532497988
9037,12.0,108.95481345453936,0.9451118650556453,47.9419344412275,8.0,2.6751388394003754,1.343585637998312,1.1913212051469957,37.23750465574413,0.633238149902788
9038,27.0,92.11558835901546,0.9625892694362651,81.22585262567293,38.0,-1.6980972501679354,1.8629732295708858,1.1746611044233308,37.29762292195464,0.6232785523867312
9039,14.0,117.8785647779515,0.9447388778869289,71.51686016601042,-45.0,6.243871225831327,1.783151594424,1.1071688402945061,37.98703516297335,0.6114403487544856
9040,23.0,124.085877098839,0.9333535994412795,32.39733311218516,42.0,1.4377776810542175,1.8417775790832212,1.1852470519723426,25.087278529947746,0.634566786007007
9041,15.0,120.1838553659062,0.9088361327925334,23.87184563237698,-4.0,13.323012526940666,1.7877596606080688,1.0730601406413358,34.284100098206515,0.6268134833094651
9042,15.0,116.29361320213859,0.9390851608983205,49.074240237259126,33.0,-2.5897959809120974,1.5366560030605854,1.223810450107964,35.22995933178021,0.6163212520169795
9043,19.0,133.42009254611153,0.9108542346497763,53.060670466712125,34.0,14.609856311522137,1.7578409770880823,1.0485501874647019,37.994449305340964,0.6022998440778253
9044,22.0,126.55855044923706,0.9403917390130632,46.076823362544395,-9.0,1.072001879693998,1.5578059047725021,1.1506526503796954,35.09336442040859,0.6265314121196791
9045,23.0,124.5611254014799,0.9054990437633471,63.346633892284714,7.0,12.773016636975933,1.9544838071276887,1.2429985485390114,33.369873795689095,0.5704307236849657
9046,18.0,115.33561211649143,0.9570200993989576,79.7776957964841,42.0,5.575512233186272,1.851260355234286,1.21450367792128,32.48747676634992,0.6104599216008323
9047,25.0,130.76113659084302,0.9318700051040967,53.480297949357094,-8.0,1.6016563925905796,1.6813217435837537,1.2854942366461082,27.777138041820912,0.5987331439239351
9048,28.0,115.41364843034782,0.9451890978194889,56.56523486999422,26.0,6.380072906573874,1.5580346849456883,1.2115006238865058,34.26188679453807,0.6209574094976236
9049,21.0,124.20499432944182,0.9344745342637799,51.475864553224255,41.0,6.683964093138731,1.8230517166474276,1.3038331601191506,29.96403795345067,0.6244750990392363
9050,25.0,119.7562448683395,0.9399093289539604,74.064590530715,-15.0,6.911888636631795,1.7288964420951312,1.2945455429470314,33.610446929912506,0.5867671181119797
9051,21.0,118.08383775390344,0.937444491193679,51.318772139581576,43.0,8.609321970719972,1.863789802151156,1.2234052783954246,29.749072256078975,0.6201113694673832
9052,16.0,117.99289497422104,0.9375844415186907,42.27226350632987,45.0,9.655778115851636,1.3830014862350404,1.0327135837440178,37.96554864326281,0.6275655431237285
9053,16.0,109.83491068087574,0.9188584302333983,11.723925659932549,23.0,3.162644066327541,1.6157824090852415,1.2676061583848155,27.947551618125814,0.6295328746306298
9054,17.0,87.8288033118738,0.9612394575444001,71.66956701761043,43.0,-5.338530603621443,1.6175917986214776,1.3476386881495022,37.72247485496947,0.609121233288192
9055,28.0,108.45738436291002,0.9229174021394324,59.03788935453916,21.0,10.266299883033783,1.9807478400182952,1.1417752750704073,31.73652095582996,0.60879400447658
