id,Delta,I_mult,R0,R_mult,delta_days_intro_VOC,delta_scaler2,ifr_mult,psi,scaler1,seasonality_min
7002,28.0,9.321356254263348,1.0943276034783962,42.6923265170803,4.0,2.7823170346626016,1.4133942024899124,1.4664610919143493,84.77615189581398,0.716192066433814
7003,29.0,7.511267430960875,1.1327929514561648,56.09239348058422,-7.0,16.86488903087301,1.0057738366142033,1.4352839635140038,64.29752304859069,0.5383577309146224
7004,24.0,8.001498154601713,1.1335320658250927,74.47347292277203,0.0,-5.6708785847978564,1.7670892005864638,1.4633493630263856,69.81608249348872,0.5940687329958669
7005,26.0,8.754136616958231,1.1524121763267015,55.009584985829875,-7.0,6.164710155742318,1.5223117982023757,1.4636712119449065,41.371795722810134,0.7612385222860578
7006,15.0,8.149774724300713,1.185880393528781,86.1137152329509,22.0,4.298786637842353,1.1464135189085691,1.6558328775667255,65.94452165350334,0.9784798655437937
7007,24.0,6.224341962204324,1.1650743299083113,52.25567381819365,22.0,-1.0791349373411938,0.9495170825599889,1.7353511881073405,64.14944785547935,0.8115910409558469
7008,27.0,6.7192123530087695,1.1167159535995221,44.29176796740467,5.0,-5.191338822390623,1.898740606080168,1.413227798430081,56.385450603725886,0.8082994653280284
7009,26.0,6.765129197459564,1.1371377850071567,51.571932747757444,-13.0,9.466261723255577,1.4439263649289238,1.332088829431388,57.48137127772493,0.5754818345004995
7010,26.0,8.677607888093387,1.1059648575738896,18.114884333190787,11.0,-6.242277866689252,1.2803642018108028,1.6497175091148695,59.639711200200644,0.6104627745230258
7011,25.0,6.111602204041174,1.121619428217906,75.45791529600963,2.0,-0.43443666663793756,1.6935808941235253,1.4442551890487805,77.97951247702515,0.7186811691665156
7012,26.0,9.02821457374392,1.1542529854607686,81.71459219491385,1.0,-5.863420865256125,1.5269906747498294,1.4821542505013099,65.23976370913981,0.6805167854215904
7013,35.0,3.9931167785995214,1.1338350026943633,41.047876204670715,21.0,15.587718501283753,1.3988040749911892,1.38086510783555,69.92517210432754,0.6602766729935929
7014,27.0,7.468199468662035,1.1436707743512993,77.36977356145967,7.0,14.318048083958338,1.6715989129921818,1.378515161893435,86.88406845441496,0.7974714964415014
7015,24.0,6.227628705841738,1.1735249566088766,56.33451851022554,27.0,2.711057538951775,1.1732309029930919,1.8556252602025383,53.459933192955425,0.5620461128195691
7016,23.0,5.45646730849685,1.1318480982890204,43.661799793441375,23.0,14.372394112822308,1.5446130133172553,1.574543331919619,43.22970176560992,0.6188370663170251
7017,26.0,8.44469329128465,1.1521841413611151,61.9574014936744,5.0,13.532327208131246,1.3160289931320488,1.465103257449838,63.58666617526308,0.8454180747227541
7018,27.0,8.629761516038847,1.1201198337978417,24.21249046139425,4.0,-2.3237589247470822,0.8303686493524827,1.5334986998346838,79.92147657942037,0.5588317488635388
7019,24.0,4.261368001341189,1.1440547425490741,63.386220189648654,24.0,5.006207990350404,1.245055927334065,1.5324888660260578,90.00017861112373,0.5889363175914427
7020,28.0,8.25185382976337,1.110789209678467,48.920326213659855,5.0,0.7487612581685861,1.150457644020483,1.5232620003353767,81.35580204560297,0.5951110767159553
7021,27.0,10.37706693332759,1.1202709596375109,60.173117790718095,-23.0,-13.03482297749158,1.349159000553547,1.3653268378622456,77.65014705988193,0.8052670700527895
7022,20.0,8.906807619134891,1.1335731622491898,81.19356034714576,3.0,-5.648045231607386,1.5474325200129573,1.4631051129967172,90.35741326040004,0.7524127204691344
7023,23.0,8.537785394832715,1.0943834744813474,15.369669842861324,25.0,9.225331907777546,1.2664908646941828,1.7356758793400102,52.643091612838134,0.7580345268815162
7024,35.0,4.068318895324621,1.1712664968533975,50.71236902771132,18.0,13.972909155185082,1.2466945192321477,1.5051209745248435,59.40079359131341,0.9462489891001349
7025,27.0,3.9768269755557295,1.1551568548547495,57.169571821460686,13.0,17.59642708803238,1.5231822836657232,1.4781297954824815,41.36125908492191,0.9481413427932571
7026,25.0,10.140306272747816,1.1659308985668717,64.53306221394847,7.0,6.362881251293766,1.1102496725421565,1.531824919481907,76.35916610876639,0.861064266526466
7027,28.0,8.6059652827881,1.1534066354566352,88.4687900486987,-19.0,1.664510522135372,1.311803706771578,1.3622293597879118,73.63938652802561,0.7937682300375788
7028,25.0,8.384902690199752,1.1409827711930753,75.00728362563794,-9.0,2.8466037678676055,1.1546791878561007,1.4479168116513652,82.04381223238128,0.9742878265670621
7029,33.0,5.81194686943826,1.1518772607944405,52.168506776257026,2.0,-15.777068142968835,1.1935682144428628,1.4665637099963946,88.6851703247451,0.5537066194665509
7030,28.0,7.380200287086502,1.1049090420573933,17.87257808403559,0.0,-0.8952001327044636,1.0884216990235738,1.4625860521402803,61.08125369124997,0.7652302191054581
7031,23.0,7.711871031820428,1.1834207071773557,61.030887484881426,19.0,-0.06580532563125008,1.259738681112389,1.724720153223711,57.43370734627723,0.5762774817575714
7032,28.0,5.6138887485811715,1.1469879688311544,56.22623416853979,17.0,15.600571046857867,1.4385494061025659,1.447892019812108,74.17050321850843,0.5822054552441868
7033,25.0,9.388440376664066,1.1209957084018924,76.00779437682661,1.0,13.522311150624727,1.5758606510636106,1.4323295684970245,79.61990309791902,0.677851928139679
7034,25.0,8.721315791000471,1.1375453057675993,80.0357193531158,-25.0,7.916721339318267,1.645496817362571,1.3505315978982695,65.18470036834756,0.5437275474743279
7035,21.0,6.277178892281214,1.107095996479121,31.124708402007855,23.0,-17.86462068524889,1.1803655997736315,1.7620171498684025,77.95835681517976,0.8496742906799305
7036,25.0,5.921616798894809,1.1224777895702251,58.59431501427998,-8.0,16.665063855801108,1.4545717892328651,1.3552808743782516,75.37173740132738,0.8412535757545784
7037,26.0,6.445652950012095,1.1310610971623625,58.1556660698112,12.0,16.162155596999575,1.1863053899465723,1.5259577574009422,62.84882892762571,0.9002884476703759
7038,22.0,7.853711434882005,1.1337242907420442,49.38086199623147,22.0,18.408628801018047,0.9719167555053148,1.5908426018167638,78.81215406142545,0.6479628113442594
7039,27.0,6.902644139831281,1.1176323403223192,22.16567342095541,25.0,4.982809580773567,0.8214947018160079,1.7768216684484879,76.76104754596689,0.6251951603991119
7040,24.0,5.095020022649584,1.1832769331288728,91.20260790791274,22.0,-4.554828959289264,1.0892338549378535,1.6106891070679183,86.18243837594821,0.7185251196527518
7041,32.0,9.699994591908709,1.1650931566317562,62.16707661056219,-2.0,-2.639222943417326,1.6219972270534417,1.5105215369518141,50.07987676283345,0.7790924396042892
7042,21.0,5.431120528474136,1.1716632229801482,59.93934671088855,29.0,-6.544773922533574,1.1847038083201855,1.7293258786428536,71.00415169354248,0.5137648881926429
7043,32.0,9.117510222900252,1.158217976216281,69.56660080731623,-3.0,17.023838374737895,0.8466349899304528,1.487758189293632,77.52286993797765,0.7344183695140017
7044,27.0,7.774084335825799,1.156622697646942,84.42542386835319,6.0,13.536350629974223,1.2608623304441222,1.4677668631828273,77.29445035154141,0.7027353262083633
