group,value
0-4,7044000
5-9,6970000
10-14,6736000
15-19,6011000
20-24,5237000
25-29,4358000
30-34,4023000
35-39,3447000
40-44,2759000
45-49,2144000
50-54,1604000
55-59,1202000
60-64,888000
65-69,631000
70-74,381000
75+,337000
