Day,one_dose_daily,two_dose_daily
2020-12-27,13676.15,0.0
2020-12-28,13676.15,0.0
2020-12-29,13676.15,0.0
2020-12-30,13676.149999999994,0.0
2020-12-31,13676.150000000009,0.0
2021-01-01,13676.149999999994,0.0
2021-01-02,13676.149999999994,0.0
2021-01-03,13676.150000000023,0.0
2021-01-04,13676.149999999994,0.0
2021-01-05,13676.14999999998,0.0
2021-01-06,13676.150000000009,0.0
2021-01-07,0.0,0.0
2021-01-08,0.0,0.0
2021-01-09,27352.29999999999,0.0
2021-01-10,82056.9,0.0
2021-01-11,54704.600000000064,0.0
2021-01-12,54704.59999999992,0.0
2021-01-13,54704.60000000004,0.0
2021-01-14,54704.60000000004,27352.300000000003
2021-01-15,27352.29999999993,0.0
2021-01-16,54704.60000000004,0.0
2021-01-17,54704.60000000009,27352.300000000003
2021-01-18,27352.29999999993,27352.29999999999
2021-01-19,54704.59999999998,0.0
2021-01-20,54704.60000000009,27352.300000000017
2021-01-21,27352.300000000047,27352.29999999999
2021-01-22,0.0,0.0
2021-01-23,27352.299999999814,27352.29999999999
2021-01-24,54704.59999999998,54704.60000000004
2021-01-25,109409.19999999995,54704.59999999998
2021-01-26,54704.60000000021,82056.89999999997
2021-01-27,13676.149999999909,27352.300000000105
2021-01-28,13676.150000000023,27352.29999999993
2021-01-29,27352.29999999993,0.0
2021-01-30,27352.300000000047,54704.60000000004
2021-01-31,27352.299999999814,54704.59999999998
2021-02-01,27352.300000000047,82056.90000000008
2021-02-02,0.0,27352.29999999993
2021-02-03,27352.300000000047,54704.59999999998
2021-02-04,27352.30000000028,54704.60000000009
2021-02-05,18234.866666666465,18234.86666666658
2021-02-06,18234.866666666698,18234.86666666658
2021-02-07,18234.866666666698,18234.866666666698
2021-02-08,82056.8999999999,27352.300000000047
2021-02-09,109409.19999999995,27352.29999999993
2021-02-10,109409.19999999995,0.0
2021-02-11,27352.300000000047,136761.5
2021-02-12,82056.8999999999,0.0
2021-02-13,136761.5,27352.300000000163
2021-02-14,136761.5,27352.29999999993
2021-02-15,328227.6000000001,54704.59999999998
2021-02-16,54704.60000000009,0.0
2021-02-17,54704.59999999963,0.0
2021-02-18,246170.7000000002,13676.15000000014
2021-02-19,246170.7000000002,13676.149999999674
2021-02-20,218818.4000000004,45587.16666666674
2021-02-21,218818.39999999944,45587.16666666674
2021-02-22,218818.4000000004,45587.16666666674
2021-02-23,136761.5,27352.299999999814
2021-02-24,54704.60000000009,27352.300000000047
2021-02-25,218818.39999999944,136761.5
2021-02-26,27352.299999999814,0.0
2021-02-27,164113.80000000077,109409.19999999995
2021-02-28,300875.3000000003,136761.5
2021-03-01,218818.39999999944,164113.80000000028
2021-03-02,136761.5,82056.89999999967
2021-03-03,109409.2000000002,109409.2000000002
2021-03-04,164113.80000000077,136761.5
2021-03-05,410284.4999999991,82056.8999999999
2021-03-06,27352.29999999888,27352.299999999814
2021-03-07,164113.80000000077,164113.80000000077
2021-03-08,246170.70000000112,218818.39999999944
2021-03-09,410284.4999999991,218818.3999999999
2021-03-10,574398.2999999998,218818.3999999999
2021-03-11,218818.4000000013,82056.8999999999
2021-03-12,54704.59999999963,0.0
2021-03-13,164113.7999999998,82056.90000000037
2021-03-14,328227.5999999987,191466.09999999963
2021-03-15,355579.90000000224,191466.10000000056
2021-03-16,246170.69999999923,136761.49999999953
2021-03-17,82056.89999999944,27352.299999999814
2021-03-18,109409.19999999924,82056.90000000037
2021-03-19,82056.90000000037,54704.59999999963
2021-03-20,218818.4000000004,191466.10000000056
2021-03-21,136761.5,164113.80000000028
2021-03-22,191466.09999999963,191466.09999999963
2021-03-23,136761.5,109409.19999999924
2021-03-24,464989.1000000015,273523.00000000093
2021-03-25,164113.80000000077,109409.2000000002
2021-03-26,82056.89999999851,54704.60000000056
2021-03-27,218818.4000000004,191466.0999999987
2021-03-28,109409.19999999924,136761.5
2021-03-29,109409.20000000112,136761.5
2021-03-30,109409.19999999924,136761.5
2021-03-31,109409.19999999924,109409.19999999924
2021-04-01,109409.20000000112,54704.60000000056
2021-04-02,27352.29999999888,27352.300000000745
2021-04-03,136761.5,136761.5
2021-04-04,136761.49999999814,82056.90000000037
2021-04-05,164113.8000000026,191466.09999999963
2021-04-06,164113.79999999888,164113.7999999998
2021-04-07,136761.50000000186,191466.09999999963
2021-04-08,109409.19999999924,82056.90000000037
2021-04-09,54704.59999999963,54704.60000000056
2021-04-10,109409.19999999924,164113.79999999888
2021-04-11,136761.50000000186,191466.1000000015
2021-04-12,109409.19999999924,191466.0999999987
2021-04-13,164113.80000000077,191466.10000000056
2021-04-14,109409.20000000112,54704.59999999963
2021-04-15,54704.599999997765,27352.299999999814
2021-04-16,27352.300000000745,27352.299999999814
2021-04-17,82056.90000000037,136761.50000000093
2021-04-18,136761.49999999814,164113.7999999998
2021-04-19,136761.5,164113.80000000077
2021-04-20,164113.80000000077,164113.79999999888
2021-04-21,136761.5,136761.50000000093
2021-04-22,164113.79999999888,136761.49999999814
2021-04-23,54704.60000000149,27352.300000000745
2021-04-24,136761.49999999814,136761.5
2021-04-25,136761.5,109409.19999999924
2021-04-26,54704.60000000149,27352.300000000745
2021-04-27,27352.29999999888,27352.300000000745
2021-04-28,0.0,0.0
2021-04-29,27352.29999999888,27352.300000000745
2021-04-30,0.0,27352.29999999888
2021-05-01,54704.60000000149,82056.89999999851
2021-05-02,164113.79999999888,191466.1000000015
2021-05-03,136761.50000000186,109409.19999999924
2021-05-04,273523.00000000186,164113.80000000077
2021-05-05,246170.69999999923,164113.79999999888
2021-05-06,191466.09999999963,136761.50000000186
2021-05-07,82056.89999999851,27352.29999999888
2021-05-08,27352.300000002608,27352.300000000745
2021-05-09,410284.4999999981,218818.4000000004
2021-05-10,191466.09999999963,109409.20000000112
2021-05-11,164113.79999999888,136761.49999999814
2021-05-12,300875.30000000075,109409.20000000112
2021-05-13,191466.10000000332,82056.89999999851
2021-05-14,109409.19999999924,27352.300000000745
2021-05-15,109409.19999999924,54704.59999999963
2021-05-16,164113.79999999888,82056.90000000037
2021-05-17,191466.1000000015,136761.5
2021-05-18,273522.9999999963,109409.19999999924
2021-05-19,246170.70000000295,82056.90000000037
2021-05-20,273523.0,54704.599999997765
2021-05-21,54704.599999997765,27352.300000002608
2021-05-22,136761.5,54704.59999999963
2021-05-23,492341.40000000224,164113.80000000077
2021-05-24,437636.799999997,82056.89999999851
2021-05-25,492341.40000000224,54704.59999999963
2021-05-26,464989.1000000015,27352.300000000745
2021-05-27,355579.8999999985,27352.29999999888
2021-05-28,109409.20000000298,27352.300000002608
2021-05-29,273522.9999999963,27352.29999999888
2021-05-30,464989.1000000015,82056.90000000037
2021-05-31,547046.0,136761.5
2021-06-01,547046.0,136761.5
2021-06-02,464989.1000000015,136761.5
2021-06-03,410284.4999999963,109409.19999999924
2021-06-04,164113.80000000077,27352.300000000745
2021-06-05,218818.3999999985,82056.90000000037
2021-06-06,519693.700000003,191466.09999999963
2021-06-07,547046.0000000037,109409.20000000112
2021-06-08,574398.299999997,136761.49999999814
2021-06-09,547046.0,136761.5
2021-06-10,547046.0,109409.20000000112
2021-06-11,1066739.6999999993,82056.90000000037
2021-06-12,300875.299999997,82056.89999999665
2021-06-13,875273.6000000052,136761.50000000186
2021-06-14,957330.4999999964,136761.5
2021-06-15,902625.9000000022,164113.79999999888
2021-06-16,711159.799999997,136761.50000000186
2021-06-17,656455.1999999993,164113.79999999888
2021-06-18,492341.3999999985,54704.59999999963
2021-06-19,246170.69999999923,54704.59999999963
2021-06-20,847921.3000000045,218818.40000000224
