group,value
0-4,1185000
5-9,1179000
10-14,1161000
15-19,1137000
20-24,1065000
25-29,974000
30-34,871000
35-39,768000
40-44,668000
45-49,570000
50-54,481000
55-59,403000
60-64,336000
65-69,279000
70-74,225000
75+,371000
