year_week,red
2020-07,1.0660625
2020-08,1.0018412698412698
2020-09,1.1076190476190475
2020-10,1.1117142857142857
2020-11,0.9440126984126984
2020-12,0.2752857142857143
2020-13,0.06775714285714285
2020-14,0.0570968253968254
2020-15,0.0713761904761905
2020-16,0.05701111111111111
2020-17,0.12134285714285713
2020-18,0.09094603174603175
2020-19,0.10395238095238095
2020-20,0.2721047619047619
2020-21,0.32876190476190487
2020-22,0.3704714285714286
2020-23,0.3345269841269841
2020-24,0.5661111111111111
2020-25,0.623384126984127
2020-26,0.6670111111111112
2020-27,0.7122920634920634
2020-28,0.7512031746031747
2020-29,0.6748492063492064
2020-30,0.7193809523809523
2020-31,0.7847238095238096
2020-32,0.5900190476190476
2020-33,0.8247793650793652
2020-34,0.8021555555555555
2020-35,0.8535015873015872
2020-36,0.7588999999999999
2020-37,0.8679619047619047
2020-38,0.876495238095238
2020-39,0.8856888888888889
2020-40,0.7947587301587301
2020-41,0.5657031746031745
2020-42,0.48030000000000006
2020-43,0.4096380952380952
2020-44,0.21806031746031745
2020-45,0.1559285714285714
2020-46,0.29082857142857144
2020-47,0.3320476190476191
2020-48,0.39216825396825394
2020-49,0.4357174603174604
2020-50,0.49899841269841266
2020-51,0.5357222222222222
2020-52,0.46461428571428576
2020-53,0.522684126984127
2021-01,0.5720888888888889
2021-02,0.4668301587301587
2021-03,0.47099523809523813
2021-04,0.4783238095238095
2021-05,0.4749142857142857
2021-06,0.5519809523809525
2021-07,0.5597031746031746
2021-08,0.5083253968253968
2021-09,0.6211380952380953
2021-10,0.6432555555555555
2021-11,0.7065190476190475
2021-12,0.738447619047619
2021-13,0.7529507936507936
2021-14,0.928595238095238
2021-15,0.43600000000000005
2021-16,0.7666857142857143
2021-17,0.5050126984126984
2021-18,0.44382857142857146
2021-19,0.26427142857142855
2021-20,0.3538904761904762
2021-21,0.08390634920634922
2021-22,0.1134238095238095
2021-23,0.15113333333333331
2021-24,0.17182222222222224
2021-25,0.3757777777777777
2021-26,0.43840952380952375
2021-27,0.5184095238095238
2021-28,0.581315873015873
2021-29,0.48938888888888876
2021-30,0.6160793650793651
2021-31,0.5867285714285714
2021-32,0.47881111111111113
2021-33,0.3464047619047618
2021-34,0.1246746031746032
2021-35,0.17723809523809525
2021-36,0.2291126984126984
2021-37,0.2729888888888889
2021-38,0.298631746031746
2021-39,0.43203650793650794
2021-40,0.6008873015873016
2021-41,0.6608142857142857
2021-42,0.615409523809524
2021-43,0.735626984126984
2021-44,0.7489365079365079
2021-45,0.8045126984126983
2021-46,0.7988523809523809
2021-47,0.892068253968254
2021-48,0.9100777777777778
2021-49,1.0033031746031746
2021-50,1.0278650793650794
2021-51,1.0595730158730159
2021-52,1.1152600000000001
