id,Delta,I_mult,R0,R_mult,delta_days_intro_VOC,ifr_mult,psi,scaler,seasonality_min
17002,22.0,112.83760584865298,0.8981617175862843,14.873647234037954,15.0,1.667940933577016,1.2383933581744686,32.33828911907442,0.5968694983562987
17003,26.0,106.42349958205227,0.9516989986118626,68.36093502613274,-31.0,1.317662598548936,1.0576993054133161,38.68166518317512,0.6009874897864241
17004,29.0,97.63811057649565,0.9437087437077791,15.928286014442035,-16.0,1.3140093218391307,1.139609854949609,27.077057348989428,0.6402980886405487
17005,26.0,78.18677626175956,0.9720332718256164,42.82895903512131,-26.0,1.3741011392348708,1.108622872671333,29.932589491689246,0.6436028172200096
17006,16.0,71.27828432542438,0.958065590295748,50.72856473226132,26.0,1.3561968166767537,1.0634401436524763,38.85874159248376,0.6244995961047606
17007,22.0,95.73635652432141,0.9465448933044932,23.506195022482913,-6.0,1.3151198096333527,1.192144217961088,26.38304361150922,0.6286350565438888
17008,18.0,127.83145626038302,0.9445698380957578,46.54972584251773,39.0,1.6171204108578587,1.38059574408904,24.964445925693294,0.613794890370037
17009,15.0,136.75413254975052,0.9784139961155988,84.92238951201496,11.0,1.8674832774964716,1.2210599204786512,27.13015125294823,0.6272966509590003
17010,17.0,134.86458645511334,0.9353344979019294,92.53711669894598,28.0,1.7482040087395814,1.4174740756118889,37.828710220847476,0.5721794385511887
17011,23.0,102.75583001857393,0.9694528337301308,91.22066085263076,27.0,1.6566615874150592,1.168419588075233,32.41414871560315,0.5835867240355977
17012,18.0,104.05101192935383,0.9732020036823065,66.06787233290582,32.0,1.8839386471881587,1.0319134645110712,32.42544380205152,0.6426484581106277
17013,24.0,78.82359722802184,0.9732214760996163,77.25777660022305,7.0,1.657994265568804,1.2854873135338585,36.537147271538124,0.6168919660319157
17014,23.0,128.2652795590332,0.9269795084560142,31.312094941737453,27.0,1.9012640861369334,1.3272425062815296,32.0661207252949,0.6503010915192373
17015,25.0,123.46387448490042,0.8836668507546093,19.863359862381543,5.0,1.5488337613533911,1.1552632636825626,39.80381992359788,0.5989650301211212
17016,28.0,91.67988240166282,0.9700109954903567,76.10277295840663,32.0,1.7424289340490013,1.4278316176506503,27.765526978356814,0.6164611878732038
17017,22.0,103.1743239389357,0.9080374508916443,51.78599725744932,40.0,1.7149248007527347,1.3782458112921794,35.34959658103002,0.5747648760175957
17018,28.0,98.6832842951516,0.8933143755779965,48.94793573404428,-33.0,1.920870901518778,1.1396457683307808,32.987242958059056,0.5443947995872178
17019,19.0,99.67901566607651,0.9567684265850145,20.237810208819944,32.0,1.3668347380414487,1.0153300849336264,29.96699838304609,0.6541445861469687
17020,23.0,120.1956387409314,1.005043576837038,77.60332938141316,16.0,1.657862910749888,1.1920656903153992,26.647612902371645,0.6649685597616863
17021,18.0,83.41455477349655,0.9629186565676165,94.97242025970219,20.0,1.938526300962849,1.0483169085554944,37.018765498360665,0.5787783665276957
17022,11.0,84.62764809892398,0.9547536130216401,32.306349807501945,19.0,1.3230228687148606,1.1602419240282054,35.28748674112382,0.6434796414597904
17023,17.0,94.13054839366234,0.9770627370956265,67.51430333110993,-45.0,1.6762168531201733,1.1434165317100038,31.582427802334777,0.6473890813214843
17024,30.0,95.27057139303265,0.9230777304278265,58.5160461474793,20.0,1.8917653481638679,1.316397397007445,26.793559320801258,0.5639142398087743
17025,17.0,105.51455013957322,0.8946667248010146,34.414698080553464,15.0,1.5590533232083796,1.2381725934622394,37.370253403085826,0.5669239875321589
17026,28.0,124.28286026911684,0.8996470250558389,25.891879008122018,-6.0,1.3393495131198778,1.3150161898895014,36.12384058106142,0.588915872572784
17027,16.0,119.42626027281078,0.9319797675595425,75.48802259595604,45.0,1.7513054874178524,1.121638993747138,38.72002517789878,0.5869888520653137
17028,12.0,72.50416527691326,0.9375367044672434,42.980308548844484,16.0,1.3632098678424451,1.2102516047690894,39.954244819411116,0.605298730426131
17029,20.0,112.09670626004134,0.9542210797989069,92.4666995296016,23.0,1.8787008234331555,1.1721608368023237,32.15907023899219,0.5715849252027947
17030,23.0,114.94675527724718,0.9950740451912033,86.62901579965671,39.0,1.4501700613298287,1.4025839454629014,37.08903308669323,0.638106569360222
17031,23.0,103.13199414694985,0.9947772664108734,94.74741284170965,34.0,1.78512376342882,1.0638169349986253,33.17945983464168,0.6410616204386813
17032,17.0,90.56481280027275,0.9650254819901772,84.85831654899776,-6.0,1.9441909507679007,1.1022060204431234,30.35824313970204,0.6056195314418641
17033,23.0,84.27665468969472,0.9599153185970521,46.673288282766094,25.0,1.5655937926243908,1.0557058537164579,26.694089414787925,0.6141027874898428
17034,26.0,129.36022398863545,0.9058297314482584,6.459154402388517,-40.0,1.5310384470567504,1.134285943531472,35.0051556200932,0.6498864000218395
17035,10.0,75.99523998995654,0.971724743355781,77.45183303724384,17.0,1.8403672776542956,1.053112456481043,31.201095969118747,0.6188074138808377
17036,29.0,104.6862805896551,1.002074884236997,82.15519206538524,-38.0,1.4556433327089253,1.2158965168839972,30.052204614999937,0.6422777061556827
17037,29.0,101.99310655784826,0.9244376017025699,51.12912417850268,17.0,1.6115117869220688,1.1293730935423745,38.74855139437586,0.5931398823586987
17038,19.0,107.68613988544439,0.9609164388690834,56.27044013908276,24.0,1.94089371774981,1.1683772690202345,25.617992479374998,0.6419847507234098
17039,24.0,87.23419689482891,0.9484322562719162,63.31790736822068,-16.0,1.8447984610172563,1.1374941745649105,32.78235479773917,0.6151205226196398
17040,24.0,107.67661040122621,0.9000472257282934,40.64209137014656,23.0,1.60243679253523,1.2420793201727602,37.99949188232161,0.5659825034930751
17041,18.0,103.92223823643941,0.91652726181402,46.92236122680026,-3.0,1.9292730461377985,1.130432347465268,37.31624830336545,0.6196448875140417
17042,28.0,114.51114605760884,0.9352733109114654,64.14673221895222,18.0,1.784724440798868,1.4243037732122266,32.90582257903116,0.5812199513120541
17043,30.0,92.95042847616476,0.901830582099153,3.035268007666662,1.0,1.758293210500994,1.2505263188337676,25.366667437098837,0.6151103350495992
17044,28.0,104.7485113601464,0.8957516445277833,16.01512827752858,-31.0,1.7229482625661314,1.174888562719809,31.435746249610986,0.5892478186331686
17045,10.0,82.52480017599655,0.9281225735769904,14.37767436856204,38.0,1.4694327107570173,1.1429278121039883,32.97440886735967,0.6331171062103758
17046,11.0,113.43668919948742,0.8953705834898525,26.213243187234742,10.0,1.7095105899117309,1.1739359008759367,36.787329252817266,0.6002810867630582
17047,27.0,91.74394772913382,0.9583899770096845,68.62351522108104,11.0,1.7175979307748563,1.3741459125759659,31.43146255063533,0.6024550747027647
17048,13.0,106.63170698206103,0.92051834974635,22.322221449532964,9.0,1.5162759124552923,1.3248412873786293,24.201608085876735,0.6011334611817806
17049,21.0,106.43864416417125,0.9407989560309641,71.3070114247128,44.0,1.6895221940434817,1.445409087212376,28.748299859294907,0.5781507093102931
17050,17.0,102.05177087142198,0.9378549500403506,64.48380604926477,-17.0,1.5555142161810107,1.0691989933378865,36.62866991064312,0.5981384871825893
17051,25.0,86.0923209789463,0.9491121676525811,19.303422867552236,37.0,1.7444295817168805,1.132396428985291,22.190140153223194,0.634441300301235
17052,19.0,131.39419842648542,0.9472647071553373,84.2879543824205,33.0,1.8846427953921145,1.177058438997762,37.282794536139434,0.608901067899066
17053,12.0,108.81544717457048,0.9348851169033681,69.90502410493585,-9.0,1.7416987950603848,1.241502759358981,33.01706291118998,0.5997855965023977
17054,27.0,143.08800335673516,0.8841175131207122,22.761870799885287,44.0,1.7112463988947857,1.6353983187489896,36.121265126107886,0.5869234703220936
17055,17.0,81.15770871417251,0.9699923283192899,69.20799474802675,34.0,1.3488402520472171,1.17285656518743,38.84713451245635,0.6124192627871834
17056,17.0,90.52478265548812,0.9357795553486237,25.932489078403215,27.0,1.240424050367164,1.3740000267085912,30.264604904363072,0.6111385880126396
17057,24.0,124.93840789544316,0.898232457223215,48.57009485368128,6.0,1.8004819021202039,1.2823378724783088,34.814777410435504,0.5577852882088604
17058,26.0,110.7551979082899,0.934101615342177,52.806275632053406,12.0,1.4929420065074737,1.0322068037789045,31.50817966246092,0.5852990727538425
17059,11.0,96.2600033001362,1.0039418089584975,79.0384577440461,6.0,1.8523349797019324,1.1565305355106343,24.058947818643013,0.640143940752643
17060,28.0,83.37790122627098,0.9388454273053088,27.282089616897952,18.0,1.4799899601445548,1.0961792291635313,34.58755902170142,0.6405942979786269
17061,27.0,112.60135338428272,0.9199276636426931,59.874807695652244,-32.0,1.9888500645719591,1.1155785720846565,35.73890933301426,0.5993058405380953
17062,25.0,99.49446624623847,0.9763957214972618,53.644715739260555,-24.0,1.5313621715340482,1.1565672440352566,32.09996194128479,0.6660183336434623
17063,21.0,142.6785442062913,0.9215846971104995,5.025644418881604,17.0,1.7966204043256893,1.117397561482481,28.63328654778493,0.6574187950477616
17064,22.0,110.8628813608712,0.9099446433474608,45.232501066428526,-2.0,1.4926541931147048,1.328524141331571,36.05164382355402,0.5815429162467339
17065,23.0,118.56317461151752,0.88818433187914,33.95013049460015,-31.0,1.8573018283122666,1.1336585405622774,32.03588698536745,0.5681496659684445
17066,30.0,84.86307642184582,0.9486983063258859,73.54421301587742,38.0,1.3253801254432862,1.1582653344804414,38.77605044371976,0.5806764609731789
17067,12.0,126.8732119800344,0.9320271691262567,62.64351492979965,10.0,1.7007431193349678,1.2564176056151164,36.902995540784566,0.5963549563406028
17068,10.0,122.56201684207527,0.906927891302921,23.67893825932791,34.0,1.7759807896640383,1.1949501922425554,29.4427194904498,0.6126227580137682
17069,21.0,89.79695204167123,0.9408907401219119,51.57497606094583,5.0,1.6408446734076396,1.2950361396177827,36.120700448462806,0.6154145366962381
17070,12.0,127.88181041322535,0.969591514255024,68.14102395515228,10.0,1.3172027996568654,1.0713562735865791,35.84758765235538,0.6334341618089109
17071,14.0,92.95063219266743,0.9290884493406691,23.013509323887103,-20.0,1.7330444531455258,1.121647498926127,32.95360692085626,0.6362375465448854
17072,21.0,115.06249913528902,0.9309533596457054,22.755352412958505,-3.0,1.9737308674230136,1.2007357533411405,25.67679159745065,0.6470738176213414
17073,10.0,132.19418074297755,0.9631612562707029,55.66727079921387,37.0,1.235080632858252,1.2974582138871424,35.43722379683696,0.6406543198945933
17074,28.0,113.42118501229004,0.9627552979004133,61.49275063287293,39.0,1.8208461077936897,1.091553890374664,33.9286443551548,0.6532787532002855
17075,25.0,118.58333830978755,0.9249444583300962,41.40284977800816,25.0,1.3556900890324395,1.030932800875174,38.0467535580013,0.6109711493118537
17076,12.0,107.41798470034587,0.9649902292393819,92.11275483667801,3.0,1.7426324213419428,1.1182817616175396,38.3721757232366,0.604982909474057
17077,29.0,126.0646309752477,0.9316523721714052,46.24466140975203,32.0,1.8516938808083578,1.3016462948635894,25.65174612202651,0.5955586740396872
17078,26.0,101.73009463969811,0.9506862828099023,79.96744664395321,6.0,1.7947140657566016,1.3703497098983832,36.773473471193014,0.5899257143329378
17079,19.0,91.92769203875625,0.9714590416020878,49.747990904120876,-13.0,1.154413126220668,1.3246726647494944,25.39557670204648,0.6004014318178368
17080,25.0,84.73441500236935,1.002185040924102,83.72768628153939,26.0,1.4396299730400604,1.0159534814756874,29.69063038964108,0.6215603553067955
17081,12.0,86.61202834751305,0.9600120014827102,81.66958580912329,-40.0,1.7225662733344382,1.225145850362794,30.864571603968198,0.5813880002589781
17082,20.0,96.72943618356524,0.9730219853668307,80.09382054785226,21.0,1.9146818756476476,1.1546900722618194,37.82389526976141,0.6526594557009415
17083,19.0,78.43815398519058,0.9269702733260213,31.73015005149632,42.0,1.4496740201087563,1.459126624244339,36.00875587955197,0.6047792623481846
17084,27.0,98.64471451145951,0.8987635328540177,12.3578910026437,-22.0,1.3892849259272217,1.2986205089628626,27.070059875164606,0.5745400680569568
17085,22.0,106.2078575697561,0.9366298522225106,58.6650682400035,-13.0,1.7944493034191216,1.1499702501533786,37.161874249934215,0.6151414306254234
17086,27.0,75.89495160174783,0.9202375674706176,26.068433669000044,30.0,1.5690270196497715,1.3172301986484714,39.38481409392527,0.6186705792572996
17087,27.0,76.69706884234218,0.9341933136283997,64.31552671455567,37.0,1.5274725469450312,1.2720875980591488,39.45152271519451,0.5801105905023106
17088,17.0,109.74192628837298,0.9609013960862831,57.415028383375805,3.0,1.0704371104061694,1.3535080209855401,36.42781877196493,0.5978153911784041
17089,17.0,101.3999035233811,0.9824628035926799,52.73668963506846,-7.0,1.3383816407266247,1.0313366337477798,29.739870339650423,0.6474255268585776
17090,12.0,85.83368555488809,0.9782352665831732,71.84170450908222,40.0,1.4553876768691136,1.1661955972887137,37.48276538719461,0.6329213326866642
17091,16.0,103.80370203569592,0.9991261363971176,70.98651103572752,31.0,1.4175243176698529,1.374843343284432,26.254941223332466,0.6386869005253357
17092,20.0,123.79685653118247,1.0210912758763004,89.95223806403521,41.0,1.7661224405186962,1.092842574744472,29.93112306342656,0.6703731799006426
17093,18.0,111.8140809699222,0.935382524788376,43.26768924580763,18.0,1.4314703489910503,1.030725355945135,39.432334437201774,0.621185929414927
17094,23.0,93.96690491288379,0.9303162947865343,44.23152360741428,-7.0,1.2298461137053711,1.322702890616374,39.32069258942464,0.5831664702417882
17095,20.0,76.89202216915261,0.9678250373651166,84.4749285366426,2.0,1.7457980687175547,1.2917366519209403,33.68044679546376,0.5830214268353509
17096,28.0,111.81245333998355,1.0077284616906275,99.22784146489415,32.0,1.6469594903396563,1.2488316174086451,39.611224755132014,0.6578725385158076
17097,11.0,127.34981688384666,0.9390875955174471,7.01547978562585,43.0,1.1886135145983197,1.2827817453282024,34.546343176993986,0.6660594020424055
17098,29.0,142.88252840009585,0.9104673714485744,19.647568402266998,6.0,1.4958497149632781,1.4065883262302863,28.251894516636007,0.5998848284052262
17099,16.0,87.93969727523012,0.9102491476579568,38.77934129066899,36.0,1.8867036022511503,1.110239999344231,36.13860737660239,0.5860111321970454
17100,22.0,92.29587584651384,0.9265365652721813,31.28670359341686,42.0,1.8663559069198323,1.08747512785972,26.71822440165805,0.6223325528497241
17101,24.0,66.38225026842333,0.9607905957288624,41.9375322258887,41.0,1.4706643412828009,1.1505416585902153,25.270449873198974,0.6078114630563437
17102,19.0,80.32467256181253,0.909993722886548,24.518354006908325,-36.0,1.6205933185811974,1.1295377019058201,34.59603763097975,0.5866182393230535
17103,31.0,118.21273598981193,0.9616866570799325,99.06548615086743,8.0,1.739127970764976,1.022358504667978,37.24183802411401,0.591322171678653
17104,29.0,105.31790136420571,0.9891806275657002,67.09562875696756,4.0,1.3748041673054225,1.1248342968159626,37.963455556535926,0.6614365109647907
17105,18.0,118.85448658738707,0.9265512831080333,30.018408381212968,-31.0,1.5820888302403413,1.0735532115881186,39.57282362070301,0.6373811794297065
17106,17.0,78.58387753689122,0.9676190600762791,91.23156801403974,20.0,1.4330536705121233,1.3528976035262923,38.29196027358054,0.5702174685021417
17107,12.0,94.35228968953325,0.9505495482289044,59.07491790836274,12.0,1.340650967116361,1.0392376305485433,39.715265149462155,0.6103326726069805
17108,20.0,75.17479746974925,0.9674913960804808,66.03638081857012,41.0,1.4068781384148208,1.0515171387023028,37.230751354677146,0.6265393371025905
17109,26.0,105.3146942592613,0.9447487005173316,64.56698439138287,34.0,1.9045334071389932,1.156570693854593,34.13838589879397,0.6236068241206614
17110,10.0,109.41925803782287,0.9147100614634076,15.310867571566549,20.0,1.3777159106140542,1.2925222652153496,31.70521543186667,0.6092614695982669
17111,17.0,119.16218151947508,0.9665702683057921,75.8544776496817,-10.0,1.486141799262388,1.244528089832903,36.80299876649708,0.6227659615164329
17112,15.0,114.64459874524397,0.9106035495703653,28.61056318922563,-40.0,1.96024092713786,1.2010094907399966,30.322185180259776,0.6004817720560853
17113,32.0,116.2293055754363,0.9110876779538942,17.786860145648824,1.0,1.3518366416974563,1.1510997581862314,37.918325605267384,0.6274109317852445
17114,26.0,103.5150299948644,0.9397447619193918,10.923377407382201,9.0,1.7926109899798373,1.19616321803374,23.720740391207677,0.6522602251250942
17115,15.0,113.64145373893973,0.9415729091034267,70.68912032880034,36.0,1.5421399420866917,1.1947591721448614,39.27288494696793,0.6011306585507138
17116,23.0,136.89039555368424,0.9328974805263608,53.13451009475202,43.0,1.9998733009111624,1.0753206875754637,30.210362142480207,0.6193458712128639
17117,27.0,130.953315600283,0.9340355150583223,39.446169786721605,-39.0,1.94120644899818,1.0429928385698435,29.389355616553914,0.6352441699318895
17118,14.0,99.02807098142507,0.926428610901632,8.142444937475846,41.0,1.6342881587019906,1.111533446423913,30.98868480652233,0.6561700089844206
17119,12.0,93.78761811735778,0.96025147226142,34.48492051374089,-30.0,1.306604795802879,1.0410974312598653,34.108483080048465,0.6593740998725217
17120,27.0,131.71777276661328,0.9384277324593362,24.75127661967736,35.0,1.4045095346956937,1.3190522621718832,34.19827647828197,0.6527788390782989
17121,15.0,92.93773631536007,0.8988995328608107,17.59713268262518,14.0,1.7791834497064958,1.223661990610302,37.38307397080275,0.6141871036854726
17122,18.0,84.72712914668425,0.9723119157470199,33.32251598641659,3.0,1.2623402054158892,1.251610100491456,24.30144338208731,0.6325892623101822
