id,Delta,I_mult,R0,R_mult,delta_days_intro_VOC,ifr_mult,psi,scaler,seasonality_min
23002,29.0,20.766935348493337,1.1822747558470927,85.76128666016439,32.0,0.8977209556770664,1.5026995624573007,8.152243477727612,0.617958050878157
23003,27.0,25.477963589114303,1.1474652590312724,39.405248867093604,29.0,0.6903316795307879,1.3601303428877176,11.539974731140543,0.7743035395870083
23004,26.0,22.995417151937858,1.137685231502399,26.02154076639001,35.0,0.7948051788734918,1.5301332992003427,8.282985602372905,0.6415103959060315
23005,30.0,32.33265052491935,1.1298904776855596,24.665512597719243,20.0,0.9956238864712726,1.4045143443613202,6.957449103986881,0.5424457401582027
23006,24.0,39.019224136380686,1.1230949674780604,33.26298353038554,27.0,0.8625198081266638,1.3535789531013762,9.33724072297769,0.5933292401110815
23007,30.0,23.810182072492836,1.1969051409287306,84.95553271760846,33.0,0.8936964067121351,1.5265221086690468,7.294687109500162,0.6911242290314181
23008,26.0,35.666729801747884,1.1663250188101546,71.49761925505302,30.0,0.9121755249815513,1.323365958268895,8.87694622158316,0.7549889531278355
23009,28.0,21.832815817844292,1.1605590333422624,53.05265449876852,35.0,1.0283184444808349,1.4131565948100078,6.848527339766512,0.8507843323257296
23010,28.0,27.543100681427877,1.1779682103919775,87.70623442395622,28.0,0.6291806283106782,1.4007930335068053,11.685471167209197,0.5040695500551832
23011,26.0,27.223042185614673,1.1398922415918895,49.08380564336607,45.0,0.9302629035343106,1.4529637424033617,8.498436974875514,0.9729498213028187
23012,25.0,23.237851773108478,1.1594391126442147,43.55528225000816,21.0,1.2185182389392633,1.387325610037347,5.859373023873443,0.6109480851481447
23013,31.0,19.416275231221015,1.1714555312887869,57.969495319962085,25.0,1.6224702482350037,1.4027188443686371,4.491232954243231,0.9723882630924109
23014,25.0,14.419617702168274,1.1681192042407358,59.82515155826833,45.0,1.2804134733711081,1.5226395129734722,4.933734881248157,0.8419114408427931
23015,28.0,23.21782100377723,1.1757995932429643,86.89045077853766,39.0,0.7391945376058617,1.4935828325204177,9.740684686561295,0.8676410191829875
23016,26.0,27.665490703894,1.123671948251352,17.584777558645307,33.0,0.6859558420078209,1.358789061942656,9.970000774560187,0.8371412570290211
23017,27.0,17.615681228217518,1.1421848412831102,20.998640303828765,22.0,0.6716914641591327,1.3745996209447402,10.303938288635743,0.7880209768094493
23018,31.0,35.09989146648475,1.1717675133283756,87.21538365010586,17.0,1.1295668785671538,1.3035233847003802,6.955849082348123,0.5281144384310905
23019,30.0,24.060261302798743,1.1700757135911615,77.09064196565798,35.0,1.1224877046510437,1.4181496330928023,6.077418291650172,0.9036626465493248
23020,31.0,34.17862663615163,1.1537861716989273,77.22831068008077,28.0,1.7434995009408902,1.2869380192686495,4.891486104697457,0.6504068979411586
23021,25.0,28.49465518942838,1.1394530051855702,44.40795420816836,43.0,0.8547948987200957,1.4010956902065523,9.458759337244421,0.7634018750679163
23022,29.0,21.640329534016285,1.139320954417694,41.86249386385058,41.0,1.9559066627267152,1.404436906467748,3.7333505772405022,0.6175104055314956
23023,27.0,24.091819094146476,1.1468135250753555,38.11860053006285,15.0,1.627305590256215,1.3536600975757493,4.739561582575382,0.5708736429290918
23024,31.0,24.163188769415775,1.1532914645533274,51.53315581468399,36.0,0.5766346030800273,1.5238748007087046,10.530149568132932,0.6366627157781743
23025,25.0,29.486101200680803,1.1549569497070542,56.522756161005205,45.0,0.5743895184591447,1.5175180810215756,13.781805536071115,0.9585194924609116
23026,24.0,30.92572433774124,1.161629045887524,81.28320212662301,38.0,1.6935156395158357,1.3841854444523318,4.922548561323855,0.9877319593904695
23027,30.0,26.04808364922975,1.108054832960769,10.626731959570552,28.0,0.589449463102243,1.3806603381257505,12.113981745843084,0.651405618105668
23028,28.0,25.933463369224746,1.1644350392101386,69.85579866671948,32.0,0.7087375819392103,1.3865422783043824,9.712932616175994,0.7926799760026947
23029,24.0,34.55970010362247,1.1659086602912736,71.6845106648004,29.0,0.6764014936412976,1.3693581731797315,12.220910033260816,0.838124771786887
