id,Delta,I_mult,R0,R_mult,delta_days_intro_VOC,ifr_mult,psi,scaler,seasonality_min
14002,22.0,63.510444176044906,1.222609240152334,52.79868351633846,-30.0,0.8673589378335057,1.1094542811358954,38.03019725672438,0.9277483332411514
14003,33.0,104.73226615436708,1.3288739553231157,65.43626576818735,-41.0,0.7873195000784342,1.6188840716402177,18.784424771045746,0.7207661392621052
14004,33.0,67.35363182858343,1.3613257349043042,91.66168933505597,-30.0,1.6506731288072127,1.6308956799803511,10.039244992772169,0.7053380487695454
14005,15.0,58.50062315649491,1.3111385595437282,62.99624623114397,19.0,0.8637194607485947,1.6095815099538793,22.303985328339518,0.7347914192828195
14006,25.0,114.03861656868114,1.333332578117485,78.27809322094807,-9.0,1.056855298559243,1.8144526469631266,13.909209319309888,0.9294772494081359
14007,28.0,56.444354816963724,1.2289689433989666,19.56996594869926,-30.0,1.3226648664150473,1.2800924031884855,19.123601545191608,0.7757938350322239
14008,33.0,33.48804958520811,1.3197739948867613,76.7975936082791,-2.0,1.3807670655541042,1.666973579363757,10.61653538063014,0.5754113127506272
14009,29.0,38.29349800284466,1.3161953118175374,76.8741381442673,5.0,1.1033980337751232,1.5901850601404808,13.17254866223614,0.890448330514848
14010,28.0,94.38330999023425,1.312857764294124,94.45307535935979,-30.0,1.3126229707242416,1.4267596422584523,16.920474002764152,0.9406847991980175
14011,33.0,64.83889079000016,1.3253133999720792,48.25693672422659,-30.0,1.2608430625951104,1.5984257921925034,16.188068043508068,0.8395819431923988
14012,30.0,110.95666652272686,1.2576320381780044,78.24733280515005,-34.0,1.0524582886713287,1.4288215142909444,20.16301525689682,0.6504969414868442
14013,33.0,115.58226365112219,1.3240756647598442,62.23577331949681,-30.0,1.2986441963170063,1.6825018689661282,10.6754807873447,0.924549756913467
14014,22.0,80.19526168037095,1.2127726759208686,2.6131003177178727,-3.0,0.6092716687207835,1.4346685458897281,31.04098941382107,0.757084995612019
14015,28.0,70.92011394217144,1.3160882504072384,71.16675425532759,-30.0,0.8898007118204889,1.3953752306060188,20.126005662035276,0.5215034490801739
14016,26.0,64.05440549411637,1.2879106721078173,49.18711180087627,1.0,1.1286957446877959,1.6762518884693602,14.981560803590952,0.8770389189084682
14017,33.0,92.94103860901109,1.3000773356421138,83.31689385530323,-28.0,1.3295658076984316,1.5939546040202104,10.063595814383259,0.9706921151910713
14018,30.0,58.23518939180902,1.3243707768813944,38.1504827993931,-16.0,0.8483706103598945,1.5913121817173002,23.082442861091376,0.6990541125976308
