group,value
['0-9'],28972000
['10-19'],30674000
['20-24'],15239000
['25-29'],14526000
['30-39'],26512000
['40-49'],20651000
['50-59'],15006000
['60-69'],7296000
['70-79'],4096000
80+,1716000
