group,value
0-4,14328000
5-9,14644000
10-14,15089000
15-19,15585000
20-24,15239000
25-29,14526000
30-34,13763000
35-39,12749000
40-44,11225000
45-49,9426000
50-54,8305000
55-59,6701000
60-64,4500000
65-69,2796000
70-74,2357000
75+,3455000
