date,location_name,daily_deaths,daily_deaths_unscaled,daily_infections
2020-02-15,Bolivia (Plurinational State of),,,
2020-02-16,Bolivia (Plurinational State of),,,
2020-02-17,Bolivia (Plurinational State of),,,
2020-02-18,Bolivia (Plurinational State of),,,
2020-02-19,Bolivia (Plurinational State of),,,
2020-02-20,Bolivia (Plurinational State of),,,
2020-02-21,Bolivia (Plurinational State of),,,
2020-02-22,Bolivia (Plurinational State of),,,
2020-02-23,Bolivia (Plurinational State of),,,
2020-02-24,Bolivia (Plurinational State of),,,
2020-02-25,Bolivia (Plurinational State of),,,
2020-02-26,Bolivia (Plurinational State of),,,
2020-02-27,Bolivia (Plurinational State of),,,
2020-02-28,Bolivia (Plurinational State of),,,
2020-02-29,Bolivia (Plurinational State of),,,
2020-03-01,Bolivia (Plurinational State of),,,
2020-03-02,Bolivia (Plurinational State of),,,
2020-03-03,Bolivia (Plurinational State of),,,
2020-03-04,Bolivia (Plurinational State of),,,
2020-03-05,Bolivia (Plurinational State of),,,
2020-03-06,Bolivia (Plurinational State of),,,
2020-03-07,Bolivia (Plurinational State of),,,
2020-03-08,Bolivia (Plurinational State of),,,
2020-03-09,Bolivia (Plurinational State of),,,
2020-03-10,Bolivia (Plurinational State of),,,
2020-03-11,Bolivia (Plurinational State of),0.0,0.0,2.0
2020-03-12,Bolivia (Plurinational State of),0.0,0.0,0.0
2020-03-13,Bolivia (Plurinational State of),0.0,0.0,1.0
2020-03-14,Bolivia (Plurinational State of),0.0,0.0,7.0
2020-03-15,Bolivia (Plurinational State of),0.0,0.0,0.0
2020-03-16,Bolivia (Plurinational State of),0.0,0.0,1.0
2020-03-17,Bolivia (Plurinational State of),0.0,0.0,0.0
2020-03-18,Bolivia (Plurinational State of),0.0,0.0,1.0
2020-03-19,Bolivia (Plurinational State of),0.0,0.0,0.0
2020-03-20,Bolivia (Plurinational State of),0.0,0.0,3.0
2020-03-21,Bolivia (Plurinational State of),0.0,0.0,4.0
2020-03-22,Bolivia (Plurinational State of),0.0,0.0,5.0
2020-03-23,Bolivia (Plurinational State of),0.0,0.0,3.0
2020-03-24,Bolivia (Plurinational State of),0.0,0.0,2.0
2020-03-25,Bolivia (Plurinational State of),0.0,0.0,3.0
2020-03-26,Bolivia (Plurinational State of),0.0,0.0,11.0
2020-03-27,Bolivia (Plurinational State of),0.0,0.0,18.0
2020-03-28,Bolivia (Plurinational State of),0.0,0.0,13.0
2020-03-29,Bolivia (Plurinational State of),5.13,1.0,7.0
2020-03-30,Bolivia (Plurinational State of),20.52,4.0,16.0
2020-03-31,Bolivia (Plurinational State of),15.39,3.0,10.0
2020-04-01,Bolivia (Plurinational State of),5.13,1.0,8.0
2020-04-02,Bolivia (Plurinational State of),5.13,1.0,8.0
2020-04-03,Bolivia (Plurinational State of),5.13,1.0,9.0
2020-04-04,Bolivia (Plurinational State of),5.13,1.0,7.0
2020-04-05,Bolivia (Plurinational State of),0.0,0.0,18.0
2020-04-06,Bolivia (Plurinational State of),5.13,1.0,26.0
2020-04-07,Bolivia (Plurinational State of),20.52,4.0,11.0
2020-04-08,Bolivia (Plurinational State of),5.13,1.0,16.0
2020-04-09,Bolivia (Plurinational State of),20.52,4.0,54.0
2020-04-10,Bolivia (Plurinational State of),5.13,1.0,4.0
2020-04-11,Bolivia (Plurinational State of),5.13,1.0,7.0
2020-04-12,Bolivia (Plurinational State of),25.65,5.0,25.0
2020-04-13,Bolivia (Plurinational State of),20.52,4.0,30.0
2020-04-14,Bolivia (Plurinational State of),5.13,1.0,24.0
2020-04-15,Bolivia (Plurinational State of),0.0,0.0,43.0
2020-04-16,Bolivia (Plurinational State of),5.13,1.0,44.0
2020-04-17,Bolivia (Plurinational State of),15.39,3.0,24.0
2020-04-18,Bolivia (Plurinational State of),0.0,0.0,28.0
2020-04-19,Bolivia (Plurinational State of),5.13,1.0,27.0
2020-04-20,Bolivia (Plurinational State of),5.13,1.0,44.0
2020-04-21,Bolivia (Plurinational State of),5.13,1.0,34.0
2020-04-22,Bolivia (Plurinational State of),20.52,4.0,11.0
2020-04-23,Bolivia (Plurinational State of),41.04,8.0,94.0
2020-04-24,Bolivia (Plurinational State of),5.13,1.0,104.0
2020-04-25,Bolivia (Plurinational State of),15.39,3.0,59.0
2020-04-26,Bolivia (Plurinational State of),25.65,5.0,84.0
2020-04-27,Bolivia (Plurinational State of),20.52,4.0,64.0
2020-04-28,Bolivia (Plurinational State of),0.0,0.0,0.0
2020-04-29,Bolivia (Plurinational State of),41.04,8.0,96.0
2020-04-30,Bolivia (Plurinational State of),0.0,0.0,0.0
2020-05-01,Bolivia (Plurinational State of),46.17,9.0,119.0
2020-05-02,Bolivia (Plurinational State of),0.0,0.0,0.0
2020-05-03,Bolivia (Plurinational State of),66.69,13.0,365.0
2020-05-04,Bolivia (Plurinational State of),41.04,8.0,87.0
2020-05-05,Bolivia (Plurinational State of),25.65,5.0,121.0
2020-05-06,Bolivia (Plurinational State of),30.78,6.0,84.0
2020-05-07,Bolivia (Plurinational State of),71.82,14.0,195.0
2020-05-08,Bolivia (Plurinational State of),25.65,5.0,185.0
2020-05-09,Bolivia (Plurinational State of),51.3,10.0,171.0
2020-05-10,Bolivia (Plurinational State of),25.65,5.0,119.0
2020-05-11,Bolivia (Plurinational State of),25.65,5.0,275.0
2020-05-12,Bolivia (Plurinational State of),41.04,8.0,133.0
2020-05-13,Bolivia (Plurinational State of),92.35,18.0,184.0
2020-05-14,Bolivia (Plurinational State of),66.69,13.0,224.0
2020-05-15,Bolivia (Plurinational State of),82.09,16.0,205.0
2020-05-16,Bolivia (Plurinational State of),5.13,1.0,249.0
2020-05-17,Bolivia (Plurinational State of),25.65,5.0,262.0
2020-05-18,Bolivia (Plurinational State of),30.78,6.0,175.0
2020-05-19,Bolivia (Plurinational State of),97.48,19.0,218.0
2020-05-20,Bolivia (Plurinational State of),66.69,13.0,438.0
2020-05-21,Bolivia (Plurinational State of),107.74,21.0,268.0
2020-05-22,Bolivia (Plurinational State of),97.48,19.0,392.0
2020-05-23,Bolivia (Plurinational State of),66.69,13.0,336.0
2020-05-24,Bolivia (Plurinational State of),66.69,13.0,348.0
2020-05-25,Bolivia (Plurinational State of),71.82,14.0,397.0
