Day,one_dose_daily,two_dose_daily
2020-12-27,2761.1625,0.0
2020-12-28,2761.1625,0.0
2020-12-29,2761.1625,0.0
2020-12-30,2761.1624999999995,0.0
2020-12-31,2761.1625000000004,0.0
2021-01-01,2761.1625000000004,0.0
2021-01-02,2761.1624999999985,0.0
2021-01-03,2761.162500000006,0.0
2021-01-04,2761.162499999995,0.0
2021-01-05,3155.614285714288,0.0
2021-01-06,3155.614285714284,0.0
2021-01-07,3155.614285714288,0.0
2021-01-08,3155.614285714288,0.0
2021-01-09,3155.614285714284,0.0
2021-01-10,3155.614285714284,0.0
2021-01-11,3155.614285714284,0.0
2021-01-12,5522.324999999997,0.0
2021-01-13,5522.325000000004,0.0
2021-01-14,5522.325000000004,0.0
2021-01-15,5522.32499999999,0.0
2021-01-16,13674.328571428574,0.0
2021-01-17,13674.328571428574,0.0
2021-01-18,13674.328571428574,0.0
2021-01-19,13674.328571428574,0.0
2021-01-20,13674.328571428545,0.0
2021-01-21,13674.328571428605,0.0
2021-01-22,13674.328571428574,0.0
2021-01-23,13674.328571428574,0.0
2021-01-24,13674.328571428545,0.0
2021-01-25,13674.328571428574,0.0
2021-01-26,13674.328571428574,0.0
2021-01-27,13674.328571428574,0.0
2021-01-28,13674.328571428605,0.0
2021-01-29,13674.328571428574,0.0
2021-01-30,13674.328571428574,0.0
2021-01-31,13674.328571428545,0.0
2021-02-01,13674.328571428545,0.0
2021-02-02,13674.328571428605,0.0
2021-02-03,13674.328571428545,0.0
2021-02-04,13674.328571428605,0.0
2021-02-05,13674.328571428545,0.0
2021-02-06,25987.411764705845,0.0
2021-02-07,25987.41176470596,0.0
2021-02-08,25987.411764705903,0.0
2021-02-09,25987.411764705783,0.0
2021-02-10,25987.41176470596,0.0
2021-02-11,25987.411764705903,0.0
2021-02-12,25987.411764705783,0.0
2021-02-13,25987.41176470602,0.0
2021-02-14,25987.411764705783,0.0
2021-02-15,25987.411764705903,0.0
2021-02-16,25987.411764705903,0.0
2021-02-17,25987.411764705783,0.0
2021-02-18,25987.41176470602,0.0
2021-02-19,25987.411764705783,0.0
2021-02-20,25987.411764705783,0.0
2021-02-21,25987.41176470602,0.0
2021-02-22,25987.411764705783,0.0
2021-02-23,22089.300000000163,0.0
2021-02-24,22089.29999999993,0.0
2021-02-25,22089.300000000047,0.0
2021-02-26,22089.29999999993,0.0
2021-02-27,22089.29999999993,0.0
2021-02-28,22089.300000000047,0.0
2021-03-01,77312.54999999993,0.0
2021-03-02,77312.55000000005,0.0
2021-03-03,39760.74000000022,0.0
2021-03-04,39760.73999999976,0.0
2021-03-05,39760.73999999999,0.0
2021-03-06,39760.73999999999,0.0
2021-03-07,39760.73999999999,0.0
2021-03-08,51541.69999999995,0.0
2021-03-09,51541.69999999995,0.0
2021-03-10,51541.69999999995,0.0
2021-03-11,51541.700000000186,0.0
2021-03-12,51541.69999999995,0.0
2021-03-13,51541.69999999995,0.0
2021-03-14,51541.69999999995,0.0
2021-03-15,51541.700000000186,0.0
2021-03-16,51541.700000000186,0.0
2021-03-17,51541.69999999972,0.0
2021-03-18,51541.69999999995,0.0
2021-03-19,51541.700000000186,0.0
2021-03-20,51541.69999999995,0.0
2021-03-21,51541.700000000186,0.0
2021-03-22,51541.69999999995,0.0
2021-03-23,54373.661538461456,0.0
2021-03-24,54373.66153846122,0.0
2021-03-25,54373.66153846169,0.0
2021-03-26,54373.66153846169,0.0
2021-03-27,54373.66153846169,0.0
2021-03-28,54373.66153846169,0.0
2021-03-29,54373.66153846076,0.0
2021-03-30,54373.66153846216,0.0
2021-03-31,54373.66153846169,0.0
2021-04-01,54373.66153846076,0.0
2021-04-02,54373.66153846216,0.0
2021-04-03,54373.66153846122,0.0
2021-04-04,54373.66153846169,11044.65000000014
2021-04-05,55223.25,11044.65000000014
2021-04-06,55223.25000000047,11044.649999999909
2021-04-07,100979.65714285708,25244.914285714272
2021-04-08,100979.65714285662,25244.914285714272
2021-04-09,100979.65714285756,25244.914285714272
2021-04-10,100979.65714285708,25244.91428571439
2021-04-11,100979.65714285708,25244.914285714272
2021-04-12,100979.65714285662,25244.91428571404
2021-04-13,100979.65714285802,25244.914285714505
2021-04-14,176714.3999999999,44178.59999999986
2021-04-15,103083.39999999898,29452.40000000014
2021-04-16,103083.4000000013,29452.399999999907
2021-04-17,103083.39999999898,29452.399999999907
2021-04-18,176714.40000000084,73631.0
2021-04-19,176714.39999999944,73631.00000000023
2021-04-20,176714.39999999944,73631.0
2021-04-21,154625.10000000056,92775.06000000006
2021-04-22,154625.10000000056,92775.05999999982
2021-04-23,154625.09999999963,92775.06000000006
2021-04-24,154625.10000000056,92775.06000000006
2021-04-25,154625.09999999963,92775.06000000006
2021-04-26,220892.99999999907,88357.19999999972
2021-04-27,220893.00000000093,110446.50000000023
2021-04-28,220893.0,66267.8999999999
2021-04-29,220893.0,66267.8999999999
2021-04-30,220893.0,55223.25
2021-05-01,220893.00000000093,55223.25
2021-05-02,220892.99999999907,55223.25
2021-05-03,220893.0,55223.25
2021-05-04,279797.7999999989,103083.3999999999
2021-05-05,279797.80000000075,103083.40000000036
2021-05-06,279797.7999999998,103083.3999999999
2021-05-07,198803.70000000112,22089.299999999814
2021-05-08,287160.89999999944,55223.25000000047
2021-05-09,287160.8999999985,55223.25
2021-05-10,375518.0999999996,110446.49999999952
2021-05-11,257708.5,50805.38999999967
2021-05-12,257708.5,50805.3900000006
2021-05-13,257708.5,50805.3899999992
2021-05-14,257708.50000000183,50805.3900000006
2021-05-15,257708.5,50805.38999999967
2021-05-16,257708.5,50805.38999999967
2021-05-17,257708.5,50805.3900000006
2021-05-18,257708.5,50805.38999999967
2021-05-19,257708.5,50805.39000000013
2021-05-20,257708.5,50805.39000000013
2021-05-21,257708.5,50805.39000000013
2021-05-22,257708.4999999981,50805.38999999967
2021-05-23,257708.50000000183,50805.39000000013
2021-05-24,257708.5,50805.39000000013
2021-05-25,257708.5,50805.38999999967
2021-05-26,132535.79999999888,50805.39000000013
2021-05-27,132535.80000000077,50805.39000000013
2021-05-28,508053.9000000004,50805.38999999967
2021-05-29,220892.9999999981,50805.39000000013
2021-05-30,220893.00000000373,50805.39000000013
2021-05-31,220892.99999999627,50805.3900000006
2021-06-01,198803.70000000112,50805.3899999992
2021-06-02,198803.69999999923,50805.3900000006
2021-06-03,198803.70000000295,50805.38999999967
2021-06-04,618500.3999999985,50805.38999999967
2021-06-05,242982.29999999705,50805.3900000006
2021-06-06,242982.30000000077,50805.38999999967
2021-06-07,419696.700000003,50805.3900000006
2021-06-08,463875.2999999989,50805.38999999967
2021-06-09,419696.69999999925,50805.38999999967
2021-06-10,419696.69999999925,50805.3900000006
2021-06-11,203712.4333333336,50805.38999999967
2021-06-12,203712.4333333373,50805.38999999967
2021-06-13,203712.4333333336,50805.3900000006
2021-06-14,203712.43333332983,50805.38999999873
2021-06-15,203712.4333333336,50805.3900000006
2021-06-16,203712.4333333336,50805.3900000006
2021-06-17,203712.4333333336,50805.3900000006
2021-06-18,203712.4333333336,50805.38999999967
2021-06-19,203712.4333333336,50805.38999999967
2021-06-20,342384.15000000224,400763.01428571343
2021-06-21,342384.1499999985,400763.0142857153
2021-06-22,1170732.8999999985,400763.0142857144
2021-06-23,662679.0,400763.0142857144
2021-06-24,684768.3000000007,400763.01428571343
2021-06-25,751036.1999999993,400763.0142857144
2021-06-26,1005063.1499999984,400763.01428571343
2021-06-27,1005063.1499999984,400763.0142857162
2021-06-28,949839.9000000022,400763.01428571343
2021-06-29,927750.6000000016,400763.01428571343
2021-06-30,817304.0999999978,400763.0142857153
2021-07-01,883572.0,400763.01428571343
2021-07-02,552232.5000000037,400763.0142857153
2021-07-03,552232.5,400763.01428571343
2021-07-04,839393.3999999985,331339.5
2021-07-05,817304.1000000015,265071.6000000015
2021-07-06,684768.299999997,132535.79999999888
2021-07-07,596411.1000000015,309250.19999999925
2021-07-08,209848.3500000015,66267.90000000037
2021-07-09,209848.34999999776,66267.90000000037
2021-07-10,596411.1000000015,276116.25
2021-07-11,596411.099999994,276116.25
2021-07-12,309250.200000003,132535.79999999888
2021-07-13,287160.900000006,110446.50000000186
2021-07-14,287160.8999999985,110446.5
2021-07-15,574321.7999999896,419696.69999999925
2021-07-16,287160.8999999985,169351.30000000077
2021-07-17,287160.900000006,169351.29999999888
2021-07-18,287160.8999999985,169351.30000000077
2021-07-19,994018.5000000076,640589.6999999993
2021-07-20,994018.4999999924,640589.7000000011
2021-07-21,500690.799999997,294523.99999999814
2021-07-22,500690.8000000119,294524.0
2021-07-23,500690.80000000447,294524.00000000186
2021-07-24,1137598.9499999955,629545.0499999989
2021-07-25,1137598.9499999955,629545.0500000007
2021-07-26,883572.0,530143.1999999993
2021-07-27,773125.5,508053.90000000224
2021-07-28,508053.8999999985,301887.1000000015
2021-07-29,508053.900000006,301887.1000000015
2021-07-30,508053.8999999985,301887.09999999776
2021-07-31,1038197.099999994,618500.3999999985
2021-08-01,817304.1000000015,441786.0
2021-08-02,618500.400000006,397607.3999999985
2021-08-03,618500.3999999911,375518.1000000015
2021-08-04,596411.1000000015,309250.19999999925
2021-08-05,287160.8999999985,165669.75
2021-08-06,287160.900000006,165669.75
2021-08-07,695812.9499999955,452830.6499999985
2021-08-08,695812.950000003,452830.65000000224
2021-08-09,287160.8999999985,176714.3999999985
2021-08-10,287160.900000006,176714.40000000224
2021-08-11,1016107.8000000044,706857.6000000015
2021-08-12,242982.29999999705,198803.69999999923
2021-08-13,242982.29999999705,198803.69999999923
2021-08-14,552232.5,485964.59999999776
2021-08-15,364473.44999999553,309250.19999999925
2021-08-16,364473.44999999553,309250.200000003
2021-08-17,326921.6400000006,362264.5199999996
2021-08-18,326921.64000000805,362264.5199999996
2021-08-19,326921.64000000805,362264.5200000033
2021-08-20,326921.63999999315,362264.5199999958
2021-08-21,326921.63999999315,362264.5200000033
2021-08-22,508053.900000006,66267.89999999851
2021-08-23,563277.1499999985,806259.4499999955
2021-08-24,563277.1499999985,806259.450000003
2021-08-25,485964.6000000015,480442.2749999985
2021-08-26,485964.6000000015,480442.27500000224
2021-08-27,485964.6000000015,480442.27500000224
2021-08-28,485964.5999999941,480442.2749999948
2021-08-29,508053.900000006,618500.400000006
2021-08-30,485964.5999999941,530143.1999999955
2021-08-31,485964.60000000894,530143.1999999955
2021-09-01,347906.4749999866,386562.75000000745
2021-09-02,347906.47499999404,386562.7499999963
2021-09-03,347906.4750000164,386562.75
2021-09-04,347906.47499999404,386562.75
2021-09-05,463875.299999997,508053.900000006
2021-09-06,323056.0124999956,325817.174999997
2021-09-07,323056.01250001043,325817.174999997
2021-09-08,323056.012500003,325817.17500000447
2021-09-09,323056.0124999956,325817.174999997
2021-09-10,323056.0124999956,325817.17500000447
2021-09-11,323056.01250001043,325817.1749999896
2021-09-12,323056.012500003,325817.17500000447
2021-09-13,323056.0124999956,325817.174999997
2021-09-14,375518.1000000015,375518.1000000015
2021-09-15,342384.1499999985,364473.450000003
2021-09-16,342384.1499999985,364473.450000003
2021-09-17,220893.0,228256.09999999404
2021-09-18,220892.9999999851,228256.1000000089
2021-09-19,220893.0000000149,228256.09999999404
2021-09-20,397607.3999999911,353428.80000000447
2021-09-21,397607.400000006,353428.799999997
2021-09-22,287160.900000006,320294.8500000015
2021-09-23,287160.89999999106,320294.8500000015
2021-09-24,287160.900000006,320294.8500000015
2021-09-25,287160.900000006,320294.8500000015
2021-09-26,574321.7999999821,574321.7999999896
2021-09-27,695812.9500000179,651634.3500000089
2021-09-28,695812.9499999881,651634.349999994
2021-09-29,640589.700000003,596411.099999994
2021-09-30,320294.85000000894,287160.900000006
2021-10-01,320294.84999999404,287160.8999999985
2021-10-02,640589.6999999881,640589.6999999955
2021-10-03,839393.400000006,883572.0000000075
2021-10-04,640589.700000003,662679.0
2021-10-05,530143.200000003,552232.5
2021-10-06,530143.200000003,574321.8000000045
2021-10-07,165669.75,187759.0499999896
2021-10-08,165669.7499999851,187759.05000000447
2021-10-09,198803.70000001788,220893.0
2021-10-10,110446.4999999851,176714.3999999985
2021-10-11,132535.80000001192,154625.1000000015
2021-10-12,88357.20000000298,132535.80000000447
2021-10-13,88357.19999998808,110446.5
2021-10-14,125172.69999998808,110446.5
2021-10-15,125172.70000001788,110446.49999999256
2021-10-16,125172.70000000298,110446.5
2021-10-17,176714.39999999106,132535.79999999702
2021-10-18,176714.40000002086,132535.80000001192
2021-10-19,154625.09999997914,110446.49999999256
2021-10-20,154625.09999999404,110446.5
2021-10-21,44178.60000000894,55223.25000000745
2021-10-22,44178.60000000894,55223.24999999255
2021-10-23,287160.89999999106,220893.0
2021-10-24,242982.29999999705,276116.25
2021-10-25,242982.29999999705,276116.25
2021-10-26,287160.900000006,419696.69999999553
2021-10-27,242982.29999999705,375518.1000000015
2021-10-28,242982.29999999705,375518.1000000015
2021-10-29,242982.29999999705,375518.1000000015
2021-10-30,397607.400000006,706857.6000000015
2021-10-31,474919.9499999881,751036.200000003
2021-11-01,474919.950000003,751036.200000003
2021-11-02,485964.60000000894,728946.8999999911
2021-11-03,552232.5,795214.8000000045
2021-11-04,265071.60000000894,364473.450000003
2021-11-05,265071.59999999404,364473.44999999553
2021-11-06,419696.700000003,485964.5999999941
2021-11-07,508053.8999999911,618500.400000006
2021-11-08,596411.1000000089,684768.299999997
2021-11-09,618500.3999999911,662679.0
2021-11-10,500690.799999997,559595.6000000015
2021-11-11,500690.8000000119,559595.6000000015
2021-11-12,500690.7999999821,559595.6000000015
2021-11-13,574321.8000000119,684768.299999997
2021-11-14,684768.299999997,751036.200000003
2021-11-15,728946.900000006,817304.099999994
2021-11-16,762080.8500000089,872527.3500000015
2021-11-17,762080.849999994,872527.3500000015
2021-11-18,714220.6999999881,822826.4250000119
2021-11-19,714220.700000003,822826.4249999896
2021-11-20,714220.700000003,822826.424999997
2021-11-21,883572.0,822826.4250000119
2021-11-22,883572.0,1016107.799999997
2021-11-23,883572.0000000149,1016107.799999997
2021-11-24,303727.875,364473.450000003
2021-11-25,303727.8749999851,364473.450000003
2021-11-26,303727.875,364473.450000003
2021-11-27,303727.875,364473.4499999881
2021-11-28,353428.8000000119,463875.299999997
2021-11-29,287160.89999999106,441785.9999999851
2021-11-30,265071.60000000894,485964.60000002384
2021-12-01,309250.1999999881,375518.0999999792
2021-12-02,237459.97499999404,331339.5
2021-12-03,237459.9750000089,331339.5
2021-12-04,237459.9750000089,331339.5000000149
2021-12-05,237459.97499999404,331339.4999999851
2021-12-06,375518.0999999941,463875.3000000119
2021-12-07,309250.200000003,463875.299999997
2021-12-08,331339.4999999851,485964.60000000894
2021-12-09,213529.9000000209,272434.700000003
2021-12-10,213529.89999999103,272434.6999999732
2021-12-11,213529.900000006,272434.7000000179
2021-12-12,287160.89999999106,441786.0
2021-12-13,287160.900000006,441786.0000000149
2021-12-14,287160.89999999106,463875.299999997
2021-12-15,198803.70000000295,287160.900000006
2021-12-16,198803.69999998808,287160.89999999106
2021-12-17,198803.70000001788,287160.89999999106
2021-12-18,198803.70000000295,287160.900000006
2021-12-19,139898.90000000596,235619.20000000295
2021-12-20,139898.89999999106,235619.19999998808
2021-12-21,139898.89999999106,235619.20000000295
2021-12-22,265071.60000000894,353428.799999997
2021-12-23,265071.60000000894,353428.8000000119
2021-12-24,265071.59999999404,353428.7999999821
2021-12-25,265071.60000000894,353428.8000000119
2021-12-26,265071.59999999404,353428.799999997
2021-12-27,751036.200000003,706857.599999994
2021-12-28,927750.599999994,662679.0000000149
2021-12-29,861482.700000003,773125.5
2021-12-30,1005063.1499999912,717902.25
2021-12-31,1005063.150000006,717902.25
