Day,one_dose_daily,two_dose_daily
2020-12-27,0.0,0.0
2020-12-28,0.0,0.0
2020-12-29,0.0,0.0
2020-12-30,0.0,0.0
2020-12-31,0.0,0.0
2021-01-01,0.0,0.0
2021-01-02,0.0,0.0
2021-01-03,2923.828571428571,0.0
2021-01-04,2923.828571428571,0.0
2021-01-05,2923.828571428572,0.0
2021-01-06,2923.8285714285703,0.0
2021-01-07,2923.8285714285703,0.0
2021-01-08,2923.828571428574,0.0
2021-01-09,2923.8285714285703,0.0
2021-01-10,2923.8285714285703,0.0
2021-01-11,2923.828571428574,0.0
2021-01-12,2923.828571428566,0.0
2021-01-13,2923.8285714285776,0.0
2021-01-14,2923.8285714285703,0.0
2021-01-15,2923.828571428574,0.0
2021-01-16,2923.828571428566,0.0
2021-01-17,2923.828571428574,0.0
2021-01-18,2923.828571428566,0.0
2021-01-19,2923.828571428574,0.0
2021-01-20,2923.828571428574,0.0
2021-01-21,2923.828571428574,0.0
2021-01-22,2923.82857142856,0.0
2021-01-23,2923.828571428574,0.0
2021-01-24,2923.828571428581,0.0
2021-01-25,2923.828571428566,0.0
2021-01-26,2923.828571428574,0.0
2021-01-27,2923.828571428574,0.0
2021-01-28,2923.828571428574,0.0
2021-01-29,2923.82857142856,0.0
2021-01-30,2923.828571428574,0.0
2021-01-31,2923.828571428574,0.0
2021-02-01,2923.828571428574,0.0
2021-02-02,2923.82857142856,0.0
2021-02-03,2923.828571428574,0.0
2021-02-04,2923.8285714285885,0.0
2021-02-05,2923.82857142856,0.0
2021-02-06,2923.828571428574,0.0
2021-02-07,2923.828571428574,0.0
2021-02-08,2923.828571428574,0.0
2021-02-09,2923.828571428574,0.0
2021-02-10,2923.828571428574,0.0
2021-02-11,2923.828571428545,0.0
2021-02-12,2923.828571428603,0.0
2021-02-13,2923.828571428545,0.0
2021-02-14,2923.828571428603,0.0
2021-02-15,2923.82857142856,0.0
2021-02-16,2923.82857142856,0.0
2021-02-17,2923.828571428574,0.0
2021-02-18,2923.828571428574,0.0
2021-02-19,2923.828571428574,0.0
2021-02-20,2923.828571428603,0.0
2021-02-21,2923.828571428545,0.0
2021-02-22,2923.828571428574,0.0
2021-02-23,2923.828571428574,0.0
2021-02-24,2923.828571428574,0.0
2021-02-25,2923.828571428545,0.0
2021-02-26,2923.828571428603,0.0
2021-02-27,2923.828571428545,0.0
2021-02-28,21862.26363636364,0.0
2021-03-01,21862.26363636364,0.0
2021-03-02,21862.26363636361,0.0
2021-03-03,21862.26363636364,0.0
2021-03-04,21862.26363636367,0.0
2021-03-05,21862.26363636361,0.0
2021-03-06,21862.26363636367,0.0
2021-03-07,21862.26363636361,0.0
2021-03-08,21862.26363636367,0.0
2021-03-09,21862.26363636361,0.0
2021-03-10,21862.26363636367,0.0
2021-03-11,21862.26363636367,0.0
2021-03-12,21862.263636363557,0.0
2021-03-13,21862.26363636361,0.0
2021-03-14,21862.26363636367,0.0
2021-03-15,21862.26363636367,0.0
2021-03-16,21862.26363636361,0.0
2021-03-17,21862.26363636367,0.0
2021-03-18,21862.263636363557,0.0
2021-03-19,21862.26363636367,0.0
2021-03-20,21862.26363636367,0.0
2021-03-21,21862.263636363557,0.0
2021-03-22,19004.88571428577,0.0
2021-03-23,19004.885714285658,0.0
2021-03-24,19004.88571428577,0.0
2021-03-25,19004.88571428577,0.0
2021-03-26,19004.885714285658,0.0
2021-03-27,19004.885714285658,0.0
2021-03-28,19004.88571428577,0.0
2021-03-29,19004.885714285658,0.0
2021-03-30,19004.88571428577,0.0
2021-03-31,19004.88571428577,0.0
2021-04-01,19004.885714285658,0.0
2021-04-02,19004.885714285658,0.0
2021-04-03,19004.88571428577,0.0
2021-04-04,19004.885714285658,0.0
2021-04-05,19004.88571428577,0.0
2021-04-06,19004.885714285658,0.0
2021-04-07,19004.885714285658,0.0
2021-04-08,19004.88571428577,0.0
2021-04-09,19004.88571428589,0.0
2021-04-10,19004.885714285425,0.0
