age_group,ifr
0-9,1.061111111111111e-05
10-19,3.39e-05
20-24,8.04e-05
25-29,0.00014669999999999996
30-39,0.0003801
40-49,0.0012713999999999998
50-59,0.004253449999999999
60-69,0.01423085
70-79,0.04761114999999999
80+,0.10538584688057041
