group,value
['0-9'],53462000
['10-19'],45428000
['20-24'],20772000
['25-29'],19158000
['30-39'],30816000
['40-49'],21249000
['50-59'],15123000
['60-69'],8902000
['70-79'],4559000
80+,1424000
