group,value
0-4,1660000
5-9,1690000
10-14,1722000
15-19,1665000
20-24,1496000
25-29,1406000
30-34,1352000
35-39,1468000
40-44,1524000
45-49,1357000
50-54,1317000
55-59,1238000
60-64,1114000
65-69,899000
70-74,727000
75+,779000
