year_week,red
2020-07,0.9555625
2020-08,0.9744904761904761
2020-09,0.9953507936507935
2020-10,0.9161269841269842
2020-11,1.0001428571428572
2020-12,0.7930396825396823
2020-13,0.619131746031746
2020-14,0.21611746031746032
2020-15,0.2225920634920635
2020-16,0.23820158730158733
2020-17,0.4541698412698413
2020-18,0.49296507936507933
2020-19,0.5941809523809524
2020-20,0.624388888888889
2020-21,0.6402793650793652
2020-22,0.6183936507936509
2020-23,0.7187238095238095
2020-24,0.7302158730158731
2020-25,0.7762888888888889
2020-26,0.7663333333333332
2020-27,0.7961952380952381
2020-28,0.814515873015873
2020-29,0.8109603174603175
2020-30,0.8109603174603175
2020-31,0.7620333333333333
2020-32,0.8452730158730158
2020-33,0.888115873015873
2020-34,0.8863158730158729
2020-35,0.8953317460317459
2020-36,0.9447476190476191
2020-37,0.962463492063492
2020-38,0.989763492063492
2020-39,0.9021238095238096
2020-40,0.9120555555555557
2020-41,0.8672555555555556
2020-42,0.9548857142857141
2020-43,0.9447507936507936
2020-44,0.9726936507936508
2020-45,0.9615126984126984
2020-46,0.9755238095238096
2020-47,0.9736952380952381
2020-48,1.0282047619047618
2020-49,1.0916698412698411
2020-50,0.9204873015873015
2020-51,1.1401142857142854
2020-52,1.058588888888889
2020-53,0.8405730158730159
2021-01,0.9736000000000001
2021-02,0.9699873015873016
2021-03,0.8909206349206349
2021-04,0.9198380952380951
2021-05,0.8714444444444445
2021-06,0.8965333333333333
2021-07,0.9035492063492062
2021-08,0.9420698412698413
2021-09,0.9995
2021-10,0.9512253968253971
2021-11,1.0493063492063492
2021-12,1.0670492063492063
2021-13,1.0027825396825396
2021-14,1.0648190476190478
2021-15,1.1058984126984126
2021-16,1.1298190476190475
2021-17,1.1896412698412697
2021-18,1.2096285714285713
2021-19,1.205242857142857
2021-20,1.297720634920635
2021-21,1.3851126984126982
2021-22,1.431031746031746
2021-23,1.4287174603174606
2021-24,1.3578190476190477
2021-25,1.29918253968254
2021-26,1.376042857142857
2021-27,1.4322428571428572
2021-28,1.412825396825397
2021-29,1.3331523809523809
2021-30,1.4505571428571429
2021-31,1.3872111111111114
2021-32,1.3853603174603175
2021-33,1.3949047619047619
2021-34,1.4085809523809523
2021-35,1.4183603174603174
2021-36,1.4574396825396825
2021-37,1.4026206349206352
2021-38,1.3317857142857144
2021-39,1.4507349206349203
2021-40,1.4670015873015871
2021-41,1.4671857142857143
2021-42,1.4646206349206352
2021-43,1.5678333333333332
2021-44,1.547453968253968
2021-45,1.510804761904762
2021-46,1.5085571428571427
2021-47,1.5510523809523808
2021-48,1.4221777777777775
2021-49,1.6449444444444445
2021-50,1.6373730158730158
2021-51,1.629688888888889
2021-52,1.2478733333333334
