group,value
['0-9'],25028000
['10-19'],18385000
['20-24'],8417000
['25-29'],8095000
['30-39'],15198000
['40-49'],10949000
['50-59'],7845000
['60-69'],5122000
['70-79'],2531000
80+,764000
