group,value
['0-9'],3350000
['10-19'],3387000
['20-24'],1496000
['25-29'],1406000
['30-39'],2820000
['40-49'],2881000
['50-59'],2555000
['60-69'],2013000
['70-79'],1146000
80+,360000
