date,location_name,daily_deaths,daily_deaths_unscaled,daily_infections
2020-02-24,Angola,,,
2020-02-25,Angola,,,
2020-02-26,Angola,,,
2020-02-27,Angola,,,
2020-02-28,Angola,,,
2020-02-29,Angola,,,
2020-03-01,Angola,,,
2020-03-02,Angola,,,
2020-03-03,Angola,,,
2020-03-04,Angola,,,
2020-03-05,Angola,,,
2020-03-06,Angola,,,
2020-03-07,Angola,,,
2020-03-08,Angola,,,
2020-03-09,Angola,,,
2020-03-10,Angola,,,
2020-03-11,Angola,,,
2020-03-12,Angola,,,
2020-03-13,Angola,,,
2020-03-14,Angola,,,
2020-03-15,Angola,,,
2020-03-16,Angola,,,
2020-03-17,Angola,,,
2020-03-18,Angola,,,
2020-03-19,Angola,,,
2020-03-20,Angola,0.0,0.0,1.0
2020-03-21,Angola,0.0,0.0,1.0
2020-03-22,Angola,0.0,0.0,0.0
2020-03-23,Angola,0.0,0.0,1.0
2020-03-24,Angola,0.0,0.0,0.0
2020-03-25,Angola,0.0,0.0,0.0
2020-03-26,Angola,0.0,0.0,1.0
2020-03-27,Angola,0.0,0.0,0.0
2020-03-28,Angola,0.0,0.0,1.0
2020-03-29,Angola,29.52,2.0,2.0
2020-03-30,Angola,0.0,0.0,0.0
2020-03-31,Angola,0.0,0.0,0.0
2020-04-01,Angola,0.0,0.0,1.0
2020-04-02,Angola,0.0,0.0,0.0
2020-04-03,Angola,0.0,0.0,0.0
2020-04-04,Angola,0.0,0.0,2.0
2020-04-05,Angola,0.0,0.0,4.0
2020-04-06,Angola,0.0,0.0,2.0
2020-04-07,Angola,0.0,0.0,1.0
2020-04-08,Angola,0.0,0.0,2.0
2020-04-09,Angola,0.0,0.0,0.0
2020-04-10,Angola,0.0,0.0,0.0
2020-04-11,Angola,0.0,0.0,0.0
2020-04-12,Angola,0.0,0.0,0.0
2020-04-13,Angola,0.0,0.0,0.0
2020-04-14,Angola,0.0,0.0,0.0
2020-04-15,Angola,0.0,0.0,0.0
2020-04-16,Angola,0.0,0.0,0.0
2020-04-17,Angola,0.0,0.0,0.0
2020-04-18,Angola,0.0,0.0,5.0
2020-04-19,Angola,0.0,0.0,0.0
2020-04-20,Angola,0.0,0.0,0.0
2020-04-21,Angola,0.0,0.0,0.0
2020-04-22,Angola,0.0,0.0,1.0
2020-04-23,Angola,0.0,0.0,0.0
2020-04-24,Angola,0.0,0.0,0.0
2020-04-25,Angola,0.0,0.0,0.0
2020-04-26,Angola,0.0,0.0,1.0
2020-04-27,Angola,0.0,0.0,1.0
2020-04-28,Angola,0.0,0.0,0.0
2020-04-29,Angola,0.0,0.0,0.0
2020-04-30,Angola,0.0,0.0,0.0
