group,value
0-4,23658000
5-9,24298000
10-14,22985000
15-19,23318000
20-24,22653000
25-29,20918000
30-34,19973000
35-39,21193000
40-44,19681000
45-49,18166000
50-54,15955000
55-59,13200000
60-64,10395000
65-69,7136000
70-74,4618000
75+,5376000
