group,value
['0-9'],47956000
['10-19'],46303000
['20-24'],22653000
['25-29'],20918000
['30-39'],41166000
['40-49'],37847000
['50-59'],29155000
['60-69'],17531000
['70-79'],7575000
80+,2419000
